Numéro d'inventaire,JJ,MM,AAAA,Lieu capture,genre,sp,Identificateur,Photographe,Type d'appareil,Nombre de photo,
WB1_23_0110,22,7,2023,,Bombus,sylvarum,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0111,22,7,2023,,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0112,22,7,2023,,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0113,22,7,2023,,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0114,22,7,2023,,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0115,22,7,2023,,Bombus,lapidarius,Arthropologia,Victor Redon,Fairphone 3+,3,
WB1_23_0116,22,7,2023,,Bombus,soroeensis,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0117,22,7,2023,,Bombus,pratorum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0118,22,7,2023,,Bombus,lapidarius,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0119,22,7,2023,,Bombus,pratorum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0120,22,7,2023,,Bombus,soroeensis,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0121,22,7,2023,,Bombus,sylvarum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0122,22,7,2023,,Bombus,pratorum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0123,22,7,2023,,Bombus,pratorum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0124,22,7,2023,,Bombus,pratorum,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0125,22,7,2023,,Bombus,confusus,Arthropologia,Mehdi Issertes,Iphone 12,3,
WB1_23_0126,25,7,2023,,Bombus,rupestris,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0127,25,7,2023,,Bombus,lapidarius,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0128,25,7,2023,,Bombus,lapidarius,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0129,25,7,2023,,Bombus,sylvarum,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0130,25,7,2023,,Bombus,sylvarum,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0131,25,7,2023,,Bombus,pratorum,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0132,25,7,2023,,Bombus,lapidarius,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0133,25,7,2023,,Bombus,pratorum,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0134,25,7,2023,,Bombus,lapidarius,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
WB1_23_0135,25,7,2023,,Bombus,lapidarius,Basile PETIT,Tonie Reygrobellet,Samsung A52S,3,
