source_type,original_id,inv_num,inv_id,inv_name,resolved_conflict,frozen_at
collection,ABAURA8885c,77,ARLY_SORO_0077,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8885d,78,ARLY_SORO_0078,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8885e,79,ARLY_SORO_0079,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABAURA8885f,80,ARLY_SORO_0080,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABB-2020.00032,81,ARLY_SORO_0081,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABB-2020.00038,82,ARLY_SORO_0082,ARLY_SORO,False,2026-09-07T18:12:37
collection,ABB-2020.00106,83,ARLY_SORO_0083,ARLY_SORO,False,2026-09-07T18:12:37
collection,BAR-2018.00332,84,ARLY_SORO_0084,ARLY_SORO,False,2026-09-07T18:12:37
collection,BAR-2018.00871,85,ARLY_SORO_0085,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387287,86,ARLY_SORO_0086,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387303,87,ARLY_SORO_0087,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387313,88,ARLY_SORO_0088,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387324,89,ARLY_SORO_0089,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387577,90,ARLY_SORO_0090,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387577b,91,ARLY_SORO_0091,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387759,92,ARLY_SORO_0092,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387766,93,ARLY_SORO_0093,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387766b,94,ARLY_SORO_0094,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387770c,95,ARLY_SORO_0095,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387770d,96,ARLY_SORO_0096,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387804c,97,ARLY_SORO_0097,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD387804d,98,ARLY_SORO_0098,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388003,99,ARLY_SORO_0099,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388003b,100,ARLY_SORO_0100,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388013,101,ARLY_SORO_0101,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388016,102,ARLY_SORO_0102,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388016b,103,ARLY_SORO_0103,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388018,104,ARLY_SORO_0104,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388018b,105,ARLY_SORO_0105,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388018c,106,ARLY_SORO_0106,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388018d,107,ARLY_SORO_0107,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388018e,108,ARLY_SORO_0108,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388135,109,ARLY_SORO_0109,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388145,110,ARLY_SORO_0110,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388145b,111,ARLY_SORO_0111,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388146,112,ARLY_SORO_0112,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388229b,113,ARLY_SORO_0113,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388229c,114,ARLY_SORO_0114,ARLY_SORO,True,2026-09-07T18:12:37
collection,CD388230d,115,ARLY_SORO_0115,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388235,116,ARLY_SORO_0116,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388235b,117,ARLY_SORO_0117,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388391,118,ARLY_SORO_0118,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388391b,119,ARLY_SORO_0119,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388612,120,ARLY_SORO_0120,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388809,121,ARLY_SORO_0121,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388820,122,ARLY_SORO_0122,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388820b,123,ARLY_SORO_0123,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388821e,124,ARLY_SORO_0124,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388821f,125,ARLY_SORO_0125,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388860,126,ARLY_SORO_0126,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388860b,127,ARLY_SORO_0127,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388862,128,ARLY_SORO_0128,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388862b,129,ARLY_SORO_0129,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388865,130,ARLY_SORO_0130,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388865b,131,ARLY_SORO_0131,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388865c,132,ARLY_SORO_0132,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388865d,133,ARLY_SORO_0133,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388865e,134,ARLY_SORO_0134,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388872,135,ARLY_SORO_0135,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388872b,136,ARLY_SORO_0136,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD388872c,137,ARLY_SORO_0137,ARLY_SORO,False,2026-09-07T18:12:37
collection,CD888235b,138,ARLY_SORO_0138,ARLY_SORO,False,2026-09-07T18:12:37
collection,D264515,139,ARLY_SORO_0139,ARLY_SORO,False,2026-09-07T18:12:37
collection,D264520b,140,ARLY_SORO_0140,ARLY_SORO,False,2026-09-07T18:12:37
collection,OPPO_5923,141,ARLY_SORO_0141,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4343,142,ARLY_SORO_0142,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4384,143,ARLY_SORO_0143,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4402,144,ARLY_SORO_0144,ARLY_SORO,False,2026-09-07T18:12:37
collection,POLLINIS4415,145,ARLY_SORO_0145,ARLY_SORO,False,2026-09-07T18:12:37
