inv_id,source_type,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,photographer,specimen_state,device,device_type,n_photos
15L2021-1757,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1758,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1758,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
2003.003,collection,,7,2003,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Saint-romain-au-mont-d'or,H.MOURET,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2003,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2003.003,collection,,7,2003,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Saint-romain-au-mont-d'or,H.MOURET,Hymenoptera,Apidae,Bombus,terrestris,queen,Gilles MAHÉ,2003,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2006.0473,collection,,,2006,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,lucorum,drone,Gilles MAHÉ,2006,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2006.0473,collection,,,2006,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,lucorum,drone,Gilles MAHÉ,2006,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2007.0008,collection,5,6,2007,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,Marcy l'etoile,H.Mouret,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2007.0008,collection,5,6,2007,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,Marcy l'etoile,H.Mouret,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2007.0712,collection,19,5,2007,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Boussuivre,H.MOURET,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Gilles MAHÉ,2007,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2007.0712,collection,19,5,2007,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Boussuivre,H.MOURET,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Gilles MAHÉ,2007,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2012.0034,collection,,,2012,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,Hugues MOURET,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2012,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2012.0034,collection,,,2012,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,Hugues MOURET,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2012,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
2013.0265,collection,,,2013,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2013.0265,collection,,,2013,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2016.8252,collection,,,2016,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2016.8252,collection,,,2016,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2016.8462,collection,,,2016,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Frederic VYGHEN,2016,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2016.8462,collection,,,2016,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,queen,Frederic VYGHEN,2016,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2017.06254,collection,,,2017,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2017.06254,collection,,,2017,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2017.06494,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017.06494,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Frederic VYGHEN,2017,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
