inv_id,source_type,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,photographer,specimen_state,device,device_type,n_photos
WB1_23_0068,terrain,Bombus,soroeensis,,novice amateur,soroeensis,240.0,145.0,,pratorum,0.0,0.0,Lapidarius,0.0,0.0,pratorum,0.0,0.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0069,terrain,Bombus,pratorum,,novice amateur,pratorum,30.0,122.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0070,terrain,Bombus,pratorum,,novice amateur,pratorum,100.0,100.0,,sylvarum,0.0,1.0,monticola,0.0,1.0,monticola,0.0,1.0,8,7,2023,Isère Taillefer,Lygia Ecuyer,alive,Huawei P30 lite,S,3
WB1_23_0076,terrain,Bombus,lapidarius,,pro,lapidarius,10.0,150.0,,pratorum,0.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30 ,S,3
WB1_23_0077,terrain,Bombus,lapidarius,,pro,lapidarius,7.0,91.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0078,terrain,Bombus,lapidarius,,pro,lapidarius,9.0,90.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0079,terrain,Bombus,lapidarius,,pro,lapidarius,10.0,210.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0080,terrain,Bombus,lapidarius,,pro,lapidarius,4.0,80.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0081,terrain,Bombus,lapidarius,,pro,lapidarius,15.0,105.0,,pratorum,0.0,1.0,ruderarius,0.0,1.0,ruderarius,0.0,0.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
WB1_23_0082,terrain,Bombus,lapidarius,,pro,lapidarius,10.0,92.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,pratorum,0.0,1.0,19,7,2023,Bennecourt,Tarek Bayan,alive,Huawei P30,S,3
