epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
21,1774.71,0.56102,0.25773,0.03931,0.02852,0.9791,0.96599,0.99087,0.8808,0.48545,0.21792,0.00575,0.01825,0.001604,0.001604,0.001604
22,1857.93,0.56367,0.24992,0.04422,0.02852,0.96613,0.96614,0.99021,0.88118,0.51538,0.22148,0.00666,0.02151,0.0015842,0.0015842,0.0015842
23,1941.31,0.57009,0.25363,0.04414,0.02896,0.97322,0.96335,0.99022,0.87019,0.51624,0.23644,0.00574,0.02086,0.0015644,0.0015644,0.0015644
24,2031.62,0.54229,0.24325,0.04255,0.02524,0.969,0.96667,0.99087,0.88806,0.50132,0.21796,0.00596,0.01955,0.0015446,0.0015446,0.0015446
25,2116.98,0.54407,0.23753,0.04169,0.02834,0.97871,0.95729,0.99097,0.89078,0.48855,0.21415,0.00569,0.01839,0.0015248,0.0015248,0.0015248
26,2202.48,0.55012,0.23631,0.04133,0.02629,0.97725,0.97349,0.99106,0.86845,0.54584,0.21511,0.00614,0.02447,0.001505,0.001505,0.001505
27,2289.83,0.54184,0.23035,0.04292,0.02711,0.97767,0.96726,0.99263,0.88517,0.50059,0.19785,0.00559,0.0206,0.0014852,0.0014852,0.0014852
28,2380.74,0.54744,0.23353,0.0404,0.02654,0.97524,0.98632,0.99304,0.88986,0.48578,0.18622,0.00555,0.01936,0.0014654,0.0014654,0.0014654
29,2475.21,0.53624,0.22422,0.03879,0.02544,0.97235,0.98085,0.99193,0.89059,0.48311,0.19923,0.00585,0.01986,0.0014456,0.0014456,0.0014456
30,2562.56,0.53538,0.22154,0.03644,0.02667,0.9751,0.98046,0.99222,0.90301,0.45046,0.18772,0.00535,0.01806,0.0014258,0.0014258,0.0014258
31,2647.54,0.52012,0.22108,0.03585,0.02501,0.97923,0.97233,0.99105,0.85014,0.60354,0.22461,0.00575,0.03354,0.001406,0.001406,0.001406
32,2732.29,0.51627,0.20778,0.03917,0.02606,0.97004,0.98085,0.99135,0.89142,0.46689,0.18859,0.00505,0.01863,0.0013862,0.0013862,0.0013862
33,2817.75,0.51604,0.21348,0.03401,0.024,0.96915,0.97149,0.99188,0.89237,0.48163,0.19493,0.00563,0.02058,0.0013664,0.0013664,0.0013664
34,2902.45,0.50923,0.21175,0.035,0.02318,0.96933,0.97751,0.99177,0.89561,0.48516,0.1874,0.00564,0.01789,0.0013466,0.0013466,0.0013466
35,2985.38,0.50072,0.20199,0.03598,0.02317,0.96921,0.97349,0.99104,0.90221,0.46763,0.1936,0.0057,0.01965,0.0013268,0.0013268,0.0013268
36,3069.88,0.50142,0.20015,0.03636,0.02252,0.96645,0.97581,0.99147,0.90451,0.44903,0.18484,0.00507,0.01827,0.001307,0.001307,0.001307
37,3158.42,0.49931,0.19834,0.03703,0.02252,0.97384,0.98822,0.99316,0.8948,0.47169,0.18101,0.00566,0.01934,0.0012872,0.0012872,0.0012872
38,3245.8,0.50155,0.19654,0.03915,0.02316,0.97745,0.9838,0.99351,0.90467,0.44829,0.17009,0.00547,0.01819,0.0012674,0.0012674,0.0012674
39,3332.74,0.49616,0.20037,0.03536,0.02384,0.97247,0.98831,0.99313,0.90376,0.45498,0.17224,0.00533,0.01936,0.0012476,0.0012476,0.0012476
40,3418.52,0.48862,0.19782,0.03674,0.02142,0.98954,0.97489,0.99325,0.89534,0.47394,0.1795,0.005,0.01905,0.0012278,0.0012278,0.0012278
41,3508.06,0.50863,0.20461,0.03472,0.02435,0.97908,0.98233,0.99269,0.909,0.42882,0.17365,0.00514,0.01589,0.001208,0.001208,0.001208
42,3591.55,0.49505,0.19949,0.03431,0.02215,0.96944,0.98108,0.99309,0.91178,0.44417,0.17868,0.00548,0.01631,0.0011882,0.0011882,0.0011882
43,3676.38,0.49215,0.20331,0.03373,0.0226,0.97665,0.98527,0.99262,0.90913,0.45336,0.17921,0.00541,0.01604,0.0011684,0.0011684,0.0011684
44,3760.55,0.49007,0.20237,0.03416,0.02231,0.98875,0.98822,0.99251,0.9098,0.43943,0.16547,0.00527,0.016,0.0011486,0.0011486,0.0011486
45,3851.42,0.48421,0.1932,0.03515,0.02175,0.9753,0.97791,0.98984,0.89524,0.46755,0.19019,0.00551,0.01938,0.0011288,0.0011288,0.0011288
46,3936.67,0.50267,0.20258,0.02987,0.02437,0.97959,0.97202,0.99257,0.91313,0.43474,0.17298,0.00541,0.01593,0.001109,0.001109,0.001109
47,4012.45,0.50701,0.20206,0.0267,0.02543,0.98284,0.97202,0.99216,0.90265,0.4604,0.18357,0.0055,0.01851,0.0010892,0.0010892,0.0010892
48,4088.08,0.49496,0.20306,0.03257,0.02288,0.98372,0.97894,0.99287,0.90579,0.44874,0.17836,0.00548,0.01816,0.0010694,0.0010694,0.0010694
49,4164.76,0.49457,0.18912,0.03536,0.02214,0.98364,0.97419,0.99044,0.90931,0.43098,0.18025,0.00518,0.01569,0.0010496,0.0010496,0.0010496
50,4241.85,0.48112,0.18123,0.03451,0.02255,0.98083,0.9838,0.99332,0.91266,0.43913,0.16652,0.00526,0.01681,0.0010298,0.0010298,0.0010298
51,4317.59,0.48186,0.18451,0.03303,0.02195,0.96545,0.98763,0.9922,0.89978,0.47386,0.18653,0.0058,0.01836,0.00101,0.00101,0.00101
52,4393.16,0.48327,0.18926,0.02594,0.02241,0.97867,0.98233,0.99156,0.9099,0.43113,0.16903,0.00509,0.01603,0.0009902,0.0009902,0.0009902
53,4469.52,0.48618,0.19004,0.02567,0.02327,0.97947,0.98348,0.99141,0.90579,0.44642,0.1798,0.00516,0.01835,0.0009704,0.0009704,0.0009704
54,4548.33,0.47109,0.18588,0.02817,0.02084,0.97909,0.97349,0.99157,0.91162,0.43536,0.18306,0.00538,0.0156,0.0009506,0.0009506,0.0009506
55,4624.59,0.46411,0.17592,0.03217,0.01998,0.97141,0.98675,0.99162,0.9059,0.42573,0.17326,0.00519,0.01612,0.0009308,0.0009308,0.0009308
56,4700.24,0.4594,0.17787,0.0371,0.01957,0.96962,0.98716,0.99255,0.91372,0.43025,0.17729,0.00524,0.01634,0.000911,0.000911,0.000911
57,4776.42,0.4625,0.17569,0.03706,0.02009,0.98209,0.98233,0.99312,0.91135,0.4408,0.1693,0.00511,0.01648,0.0008912,0.0008912,0.0008912
58,4852.23,0.46288,0.17189,0.03441,0.01949,0.97665,0.98567,0.9936,0.92083,0.4187,0.16592,0.00491,0.01583,0.0008714,0.0008714,0.0008714
59,4928.06,0.45059,0.16849,0.038,0.01935,0.98646,0.9659,0.99335,0.90022,0.46475,0.17979,0.00539,0.0174,0.0008516,0.0008516,0.0008516
60,5003.15,0.45822,0.17083,0.0431,0.01986,0.98032,0.98085,0.99243,0.91016,0.43438,0.17567,0.00518,0.01567,0.0008318,0.0008318,0.0008318
61,5079.02,0.45585,0.17511,0.04101,0.01994,0.98823,0.98933,0.99341,0.92201,0.41685,0.15346,0.00479,0.01676,0.000812,0.000812,0.000812
62,5154.83,0.45127,0.17131,0.04015,0.01884,0.97947,0.98376,0.99368,0.91659,0.42537,0.16264,0.00509,0.01704,0.0007922,0.0007922,0.0007922
63,5229.76,0.44685,0.16869,0.04,0.01828,0.98426,0.97644,0.99294,0.91246,0.42404,0.16635,0.00496,0.01615,0.0007724,0.0007724,0.0007724
64,5305.01,0.44929,0.16329,0.03516,0.01897,0.98083,0.97946,0.99347,0.92205,0.40599,0.15582,0.00476,0.01573,0.0007526,0.0007526,0.0007526
65,5380.49,0.45218,0.16626,0.04124,0.01895,0.98406,0.98527,0.99416,0.91563,0.43435,0.16399,0.00512,0.01654,0.0007328,0.0007328,0.0007328
66,5455.74,0.43558,0.16358,0.0414,0.01768,0.97781,0.97331,0.99181,0.91569,0.42416,0.1713,0.00504,0.01633,0.000713,0.000713,0.000713
67,5530.9,0.43608,0.16203,0.03914,0.01781,0.9827,0.98085,0.99294,0.91802,0.429,0.16298,0.005,0.01665,0.0006932,0.0006932,0.0006932
68,5606.39,0.44444,0.16814,0.03722,0.01957,0.98103,0.98993,0.99409,0.92083,0.42547,0.16223,0.00516,0.01723,0.0006734,0.0006734,0.0006734
69,5681.97,0.44235,0.16144,0.0392,0.01888,0.9806,0.98233,0.99354,0.91588,0.41569,0.1732,0.00497,0.01539,0.0006536,0.0006536,0.0006536
70,5757.32,0.44588,0.16293,0.0352,0.01942,0.98094,0.98522,0.99365,0.91595,0.41094,0.17315,0.00487,0.01544,0.0006338,0.0006338,0.0006338
71,5832.36,0.44382,0.16022,0.03468,0.01928,0.98813,0.98118,0.99424,0.91768,0.40361,0.16585,0.00479,0.01548,0.000614,0.000614,0.000614
72,5908.55,0.44542,0.16398,0.03247,0.01941,0.97662,0.98675,0.99377,0.92448,0.40719,0.16657,0.00495,0.01569,0.0005942,0.0005942,0.0005942
73,5985.47,0.45981,0.16712,0.02611,0.02111,0.97951,0.98573,0.99361,0.92088,0.41255,0.16256,0.00504,0.01544,0.0005744,0.0005744,0.0005744
74,6065.45,0.44724,0.15922,0.02469,0.01878,0.98089,0.98264,0.99356,0.92274,0.41065,0.16155,0.00503,0.01516,0.0005546,0.0005546,0.0005546
75,6142.43,0.45984,0.17067,0.02224,0.02073,0.97971,0.98233,0.99377,0.92045,0.41032,0.16673,0.00491,0.01562,0.0005348,0.0005348,0.0005348
76,6233.97,0.44954,0.16725,0.02536,0.01922,0.97038,0.98233,0.99315,0.92186,0.40874,0.17741,0.005,0.01464,0.000515,0.000515,0.000515
77,6328.54,0.45016,0.16373,0.02381,0.01999,0.98428,0.97496,0.99345,0.92497,0.39584,0.16387,0.00473,0.01521,0.0004952,0.0004952,0.0004952
78,6425.67,0.44008,0.16229,0.02846,0.01964,0.9826,0.97938,0.99389,0.91841,0.42963,0.17423,0.00524,0.01679,0.0004754,0.0004754,0.0004754
79,6514.93,0.44251,0.1597,0.02623,0.01947,0.97355,0.98969,0.99273,0.92152,0.41199,0.17615,0.00511,0.01489,0.0004556,0.0004556,0.0004556
80,6608.85,0.43827,0.15862,0.02349,0.0191,0.98372,0.97873,0.99339,0.92283,0.40784,0.16883,0.00476,0.0152,0.0004358,0.0004358,0.0004358
81,6702.74,0.43296,0.16243,0.02923,0.01919,0.97893,0.9838,0.9934,0.92297,0.40373,0.17543,0.00488,0.01485,0.000416,0.000416,0.000416
82,6791.33,0.42735,0.15389,0.03215,0.01795,0.98227,0.97908,0.99376,0.92064,0.40521,0.17568,0.00491,0.0152,0.0003962,0.0003962,0.0003962
83,6877.41,0.42382,0.15634,0.03274,0.01737,0.98362,0.97284,0.99342,0.92511,0.40269,0.16324,0.0048,0.01536,0.0003764,0.0003764,0.0003764
84,6963.75,0.42199,0.15433,0.03651,0.01735,0.98201,0.97644,0.99332,0.92318,0.4044,0.16376,0.00486,0.0156,0.0003566,0.0003566,0.0003566
85,7049.07,0.42543,0.15222,0.03402,0.01751,0.98012,0.96907,0.99254,0.91735,0.39728,0.17214,0.00488,0.01533,0.0003368,0.0003368,0.0003368
86,7130.04,0.4184,0.15248,0.03402,0.01685,0.97578,0.98822,0.99246,0.92171,0.39771,0.15976,0.00489,0.01538,0.000317,0.000317,0.000317
87,7212.52,0.42094,0.1538,0.03576,0.0174,0.96815,0.98822,0.99248,0.92526,0.39358,0.16697,0.00474,0.01553,0.0002972,0.0002972,0.0002972
88,7298.89,0.42029,0.15381,0.03504,0.01702,0.97704,0.98233,0.9933,0.92352,0.39775,0.1594,0.00487,0.01468,0.0002774,0.0002774,0.0002774
89,7384.32,0.41509,0.15046,0.03365,0.01801,0.98194,0.97496,0.99289,0.92312,0.39584,0.16606,0.0048,0.01476,0.0002576,0.0002576,0.0002576
90,7470.33,0.41802,0.14786,0.03355,0.01729,0.9799,0.97644,0.99181,0.92058,0.40588,0.16359,0.00504,0.01551,0.0002378,0.0002378,0.0002378
91,7554.09,0.41867,0.15025,0.03318,0.01731,0.97671,0.98832,0.99312,0.92337,0.39746,0.16301,0.00475,0.0149,0.000218,0.000218,0.000218
92,7639.05,0.4101,0.15028,0.03621,0.01665,0.97066,0.98675,0.99249,0.92135,0.39944,0.16131,0.00485,0.01514,0.0001982,0.0001982,0.0001982
93,7724.97,0.41144,0.15349,0.03686,0.01681,0.97116,0.99203,0.99285,0.92344,0.39683,0.15712,0.00478,0.01495,0.0001784,0.0001784,0.0001784
94,7812.27,0.41401,0.14905,0.0359,0.01676,0.97777,0.98969,0.99336,0.92535,0.39502,0.15506,0.00471,0.01474,0.0001586,0.0001586,0.0001586
95,7900.52,0.41056,0.14623,0.03556,0.01649,0.96893,0.98969,0.99208,0.9271,0.39374,0.16159,0.00473,0.01496,0.0001388,0.0001388,0.0001388
96,7996.75,0.40978,0.151,0.03467,0.01687,0.97196,0.98969,0.99225,0.92595,0.39133,0.1647,0.00476,0.0144,0.000119,0.000119,0.000119
97,8087.73,0.40591,0.15139,0.03365,0.01639,0.98221,0.97557,0.99277,0.92403,0.39784,0.16092,0.00483,0.01481,9.92e-05,9.92e-05,9.92e-05
98,8175.43,0.41054,0.15022,0.03341,0.01715,0.97094,0.98402,0.99197,0.92558,0.39233,0.15975,0.00471,0.0146,7.94e-05,7.94e-05,7.94e-05
99,8259.72,0.40766,0.14612,0.03515,0.01641,0.985,0.96907,0.99168,0.92728,0.39172,0.16307,0.0047,0.01469,5.96e-05,5.96e-05,5.96e-05
100,8346.15,0.40552,0.14952,0.03529,0.01655,0.96781,0.98822,0.99179,0.92516,0.39339,0.16075,0.00475,0.0147,3.98e-05,3.98e-05,3.98e-05
