idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
48,FR15ABOM170821029_S2.jpg,OK,1337,2195,437,1020,0.0,0.875,0.878,2.33,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM170821029_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM170821029_S2.jpg
49,FR15ABOM170821029_S3.jpg,OK,1187,2290,469,1036,0.0,0.822,0.886,2.21,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM170821029_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM170821029_S3.jpg
50,FR15ABOM210821137_P1.JPG,OK,2487,1822,584,1420,0.0,0.822,0.941,2.43,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821137_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821137_P1.JPG
51,FR15ABOM210821137_P2.JPG,OK,2449,1841,584,1420,0.0,0.829,0.932,2.43,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821137_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821137_P2.JPG
52,FR15ABOM210821137_S1.jpg,OK,1313,1857,453,1067,0.0,0.801,0.906,2.36,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821137_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821137_S1.jpg
53,FR15ABOM210821137_S2.jpg,OK,1360,1888,453,1099,0.0,0.74,0.899,2.43,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821137_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821137_S2.jpg
54,FR15ABOM210821137_S3.jpg,OK,1187,1809,453,1099,0.0,0.792,0.886,2.43,8,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821137_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821137_S3.jpg
55,FR15ABOM210821139_P1.JPG,OK,2515,1753,560,1363,0.0,0.772,0.936,2.43,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821139_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821139_P1.JPG
56,FR15ABOM210821139_P2.JPG,OK,2468,1727,546,1382,0.0,0.701,0.932,2.53,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821139_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821139_P2.JPG
57,FR15ABOM210821139_S1.jpg,OK,1392,1794,421,973,0.0,0.861,0.864,2.31,4,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821139_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821139_S1.jpg
