idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
110,WB1_23_0063_1,OK,1584,2248,230,496,0.0,0.915,0.894,2.15,2,data\images\wide\terrain\ligia\WB1_23_0063_1.jpg,data\images\crop\terrain\ligia\WB1_23_0063_1.jpg
111,WB1_23_0063_2,OK,1639,2232,230,480,0.0,0.841,0.898,2.08,2,data\images\wide\terrain\ligia\WB1_23_0063_2.jpg,data\images\crop\terrain\ligia\WB1_23_0063_2.jpg
112,WB1_23_0063_3,OK,1631,2217,230,496,0.0,0.874,0.898,2.15,1,data\images\wide\terrain\ligia\WB1_23_0063_3.jpg,data\images\crop\terrain\ligia\WB1_23_0063_3.jpg
113,WB1_23_0064_1,OK,1065,2059,324,762,13.309,0.937,0.814,2.35,1,data\images\wide\terrain\ligia\WB1_23_0064_1.jpg,data\images\crop\terrain\ligia\WB1_23_0064_1.jpg
114,WB1_23_0064_2,OK,1077,2085,331,761,13.658,0.945,0.833,2.3,2,data\images\wide\terrain\ligia\WB1_23_0064_2.jpg,data\images\crop\terrain\ligia\WB1_23_0064_2.jpg
115,WB1_23_0064_3,OK,1073,2092,320,745,12.779,0.956,0.815,2.32,3,data\images\wide\terrain\ligia\WB1_23_0064_3.jpg,data\images\crop\terrain\ligia\WB1_23_0064_3.jpg
116,WB1_23_0065_1,OK,1529,2037,215,480,0.0,0.321,0.76,2.24,2,data\images\wide\terrain\ligia\WB1_23_0065_1.jpg,data\images\crop\terrain\ligia\WB1_23_0065_1.jpg
117,WB1_23_0065_2,OK,936,2436,418,168,-90.0,0.379,0.725,2.49,2,data\images\wide\terrain\ligia\WB1_23_0065_2.jpg,data\images\crop\terrain\ligia\WB1_23_0065_2.jpg
118,WB1_23_0065_3,OK,924,2366,437,173,-88.493,0.363,0.642,2.53,4,data\images\wide\terrain\ligia\WB1_23_0065_3.jpg,data\images\crop\terrain\ligia\WB1_23_0065_3.jpg
119,WB1_23_0066_1,OK,1475,2162,309,809,0.0,0.948,0.768,2.62,2,data\images\wide\terrain\ligia\WB1_23_0066_1.jpg,data\images\crop\terrain\ligia\WB1_23_0066_1.jpg
120,WB1_23_0066_2,OK,1436,2225,309,793,0.0,0.96,0.769,2.57,2,data\images\wide\terrain\ligia\WB1_23_0066_2.jpg,data\images\crop\terrain\ligia\WB1_23_0066_2.jpg
121,WB1_23_0066_3,OK,1467,2279,293,793,0.0,0.961,0.763,2.71,1,data\images\wide\terrain\ligia\WB1_23_0066_3.jpg,data\images\crop\terrain\ligia\WB1_23_0066_3.jpg
122,WB1_23_0067_1,OK,1535,2168,352,836,0.0,0.972,0.841,2.38,2,data\images\wide\terrain\ligia\WB1_23_0067_1.jpg,data\images\crop\terrain\ligia\WB1_23_0067_1.jpg
123,WB1_23_0067_2,OK,1561,2123,355,824,0.0,0.965,0.864,2.32,2,data\images\wide\terrain\ligia\WB1_23_0067_2.jpg,data\images\crop\terrain\ligia\WB1_23_0067_2.jpg
124,WB1_23_0067_3,OK,1693,2131,371,871,0.0,0.971,0.846,2.35,2,data\images\wide\terrain\ligia\WB1_23_0067_3.jpg,data\images\crop\terrain\ligia\WB1_23_0067_3.jpg
125,WB1_23_0068_1,OK,1232,2154,387,887,0.0,0.876,0.866,2.29,2,data\images\wide\terrain\ligia\WB1_23_0068_1.jpg,data\images\crop\terrain\ligia\WB1_23_0068_1.jpg
126,WB1_23_0068_2,OK,1273,2266,372,873,4.475,0.916,0.875,2.35,2,data\images\wide\terrain\ligia\WB1_23_0068_2.jpg,data\images\crop\terrain\ligia\WB1_23_0068_2.jpg
127,WB1_23_0068_3,OK,1412,2259,360,868,4.351,0.926,0.872,2.41,2,data\images\wide\terrain\ligia\WB1_23_0068_3.jpg,data\images\crop\terrain\ligia\WB1_23_0068_3.jpg
128,WB1_23_0069_1,OK,1381,2436,293,715,0.0,0.972,0.874,2.44,1,data\images\wide\terrain\ligia\WB1_23_0069_1.jpg,data\images\crop\terrain\ligia\WB1_23_0069_1.jpg
129,WB1_23_0069_2,OK,1381,2420,293,715,0.0,0.977,0.874,2.44,1,data\images\wide\terrain\ligia\WB1_23_0069_2.jpg,data\images\crop\terrain\ligia\WB1_23_0069_2.jpg
130,WB1_23_0069_3,OK,1475,2412,309,715,0.0,0.974,0.878,2.32,1,data\images\wide\terrain\ligia\WB1_23_0069_3.jpg,data\images\crop\terrain\ligia\WB1_23_0069_3.jpg
131,WB1_23_0070_1,OK,1225,2318,277,684,0.0,0.904,0.896,2.46,1,data\images\wide\terrain\ligia\WB1_23_0070_1.jpg,data\images\crop\terrain\ligia\WB1_23_0070_1.jpg
132,WB1_23_0070_2,OK,1209,2334,277,684,0.0,0.971,0.886,2.46,1,data\images\wide\terrain\ligia\WB1_23_0070_2.jpg,data\images\crop\terrain\ligia\WB1_23_0070_2.jpg
133,WB1_23_0070_3,OK,1295,2318,277,699,0.0,0.953,0.853,2.52,2,data\images\wide\terrain\ligia\WB1_23_0070_3.jpg,data\images\crop\terrain\ligia\WB1_23_0070_3.jpg
134,WB1_23_0116_1,OK,1242,2699,374,957,0.0,0.891,0.766,2.56,6,data\images\wide\terrain\mehdi\WB1_23_0116_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0116_1.jpg
135,WB1_23_0116_2,OK,1164,2660,358,957,0.0,0.856,0.724,2.67,5,data\images\wide\terrain\mehdi\WB1_23_0116_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0116_2.jpg
136,WB1_23_0116_3,OK,1209,2659,965,362,-1.86,0.789,0.733,2.66,3,data\images\wide\terrain\mehdi\WB1_23_0116_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0116_3.jpg
137,WB1_23_0117_1,OK,1396,2668,374,917,0.0,0.936,0.782,2.45,4,data\images\wide\terrain\mehdi\WB1_23_0117_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0117_1.jpg
138,WB1_23_0117_2,OK,1561,2502,390,902,0.0,0.834,0.831,2.31,4,data\images\wide\terrain\mehdi\WB1_23_0117_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0117_2.jpg
139,WB1_23_0117_3,OK,1683,2494,374,894,0.0,0.781,0.853,2.39,5,data\images\wide\terrain\mehdi\WB1_23_0117_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0117_3.jpg
140,WB1_23_0118_1,OK,1673,2731,361,903,4.447,0.874,0.801,2.5,2,data\images\wide\terrain\mehdi\WB1_23_0118_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0118_1.jpg
141,WB1_23_0118_2,OK,1658,2653,361,903,4.447,0.926,0.817,2.5,2,data\images\wide\terrain\mehdi\WB1_23_0118_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0118_2.jpg
142,WB1_23_0118_3,OK,1638,2694,368,901,5.013,0.956,0.793,2.45,2,data\images\wide\terrain\mehdi\WB1_23_0118_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0118_3.jpg
143,WB1_23_0119_1,OK,1297,2384,406,1004,0.0,0.893,0.774,2.48,2,data\images\wide\terrain\mehdi\WB1_23_0119_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0119_1.jpg
144,WB1_23_0119_2,OK,1480,2313,421,992,0.0,0.833,0.773,2.36,2,data\images\wide\terrain\mehdi\WB1_23_0119_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0119_2.jpg
145,WB1_23_0119_3,OK,1492,2337,406,1016,0.0,0.903,0.805,2.5,3,data\images\wide\terrain\mehdi\WB1_23_0119_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0119_3.jpg
146,WB1_23_0120_1,OK,1573,2652,406,768,0.0,0.987,0.788,1.89,2,data\images\wide\terrain\mehdi\WB1_23_0120_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0120_1.jpg
147,WB1_23_0120_2,OK,1605,2683,406,768,0.0,0.982,0.764,1.89,3,data\images\wide\terrain\mehdi\WB1_23_0120_2.jpg,data\images\crop\terrain\mehdi\WB1_23_0120_2.jpg
148,WB1_23_0120_3,OK,1668,2723,390,768,0.0,0.984,0.806,1.97,4,data\images\wide\terrain\mehdi\WB1_23_0120_3.jpg,data\images\crop\terrain\mehdi\WB1_23_0120_3.jpg
149,WB1_23_0121_1,OK,1353,2581,295,736,0.0,0.966,0.821,2.49,3,data\images\wide\terrain\mehdi\WB1_23_0121_1.jpg,data\images\crop\terrain\mehdi\WB1_23_0121_1.jpg
