num_inv,collection_origine,mode_capture,jj,mm,aaaa,region,localite,collecteur,ordre,famille,genre,espece,caste,identificateur,année_identification,photographe,specimen,appareil,n_photos
15L2021-1732,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1732,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1739,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1739,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1740,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1740,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1741,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1741,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1742,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1742,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1743,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1743,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Soroeensis,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1748,Collection Mehdi ISSERTES,Filet,,,2021,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pomorum,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1748,Collection Mehdi ISSERTES,Filet,,,2021,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pomorum,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1757,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1757,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
15L2021-1758,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Smartphone Samsung s10,3
15L2021-1758,Collection CPIE15,Filet,,,2021,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,Rupestris,Mâle,Mehdi ISSERTES,2021,Basile PETIT,Epinglé,Canon EOS 70D - 100mm macro,2
2003.003,Collection Arthropologia Lyon,Filet,,7,2003,Auvergne-Rhônes Alpes,Saint-romain-au-mont-d'or,H.MOURET,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2003,Basile PETIT,Epinglé,Smartphone Samsung s10,5
2003.003,Collection Arthropologia Lyon,Filet,,7,2003,Auvergne-Rhônes Alpes,Saint-romain-au-mont-d'or,H.MOURET,Hymenoptera,Apidae,Bombus,Terrestris,Reine,Gilles MAHÉ,2003,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
