photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
ARLY_0008_P_1,ARLY_0008,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,3e34b1a5f8c44921,1451469,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_P_1.jpg,OK,
ARLY_0008_P_2,ARLY_0008,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,e9eb4b4b54843cc4,1442616,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_P_2.jpg,OK,
ARLY_0008_P_3,ARLY_0008,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,80e93c027de786eb,1445106,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_P_3.jpg,OK,
ARLY_0008_S_1,ARLY_0008,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,3641c24e2b5aacc2,1928708,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_S_1.jpg,OK,
ARLY_0008_S_2,ARLY_0008,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,612365d32ab72a2d,2129161,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_S_2.jpg,OK,
ARLY_0008_S_3,ARLY_0008,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,0c2d2e114c286b47,2101621,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0008_S_3.jpg,OK,
ARLY_0009_P_1,ARLY_0009,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,b0527ca4dcd08ca4,1388577,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_P_1.jpg,OK,
ARLY_0009_P_2,ARLY_0009,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,1f3da56864f198e7,1385135,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_P_2.jpg,OK,
ARLY_0009_P_3,ARLY_0009,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,37ee446840885305,1384232,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_P_3.jpg,OK,
ARLY_0009_S_1,ARLY_0009,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,99722d95c6df81aa,2082257,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_S_1.jpg,OK,
ARLY_0009_S_2,ARLY_0009,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,2e77f206a087a1ad,1834887,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_S_2.jpg,OK,
ARLY_0009_S_3,ARLY_0009,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,655b01aae2a28fd7,2128898,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0009_S_3.jpg,OK,
ARLY_0010_P_1,ARLY_0010,P,Smartphone Samsung s10,1,Basile PETIT,.jpg,837dc7259ea9a922,1395673,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_P_1.jpg,OK,
ARLY_0010_P_2,ARLY_0010,P,Smartphone Samsung s10,2,Basile PETIT,.jpg,1f2e33fff0b9af8b,1459285,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_P_2.jpg,OK,
ARLY_0010_P_3,ARLY_0010,P,Smartphone Samsung s10,3,Basile PETIT,.jpg,eb8f4bc5eca65c85,1404088,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_P_3.jpg,OK,
ARLY_0010_S_1,ARLY_0010,S,Smartphone Samsung s10,1,Basile PETIT,.jpg,272e65c581d83d9c,1862099,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_S_1.jpg,OK,
ARLY_0010_S_2,ARLY_0010,S,Smartphone Samsung s10,2,Basile PETIT,.jpg,b72e529a2adbb0ed,2015064,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_S_2.jpg,OK,
ARLY_0010_S_3,ARLY_0010,S,Smartphone Samsung s10,3,Basile PETIT,.jpg,fb3f2bae0be94b46,1895906,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0010_S_3.jpg,OK,
ARLY_0011_P_1,ARLY_0011,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,5d2926069c20eb49,1317609,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_P_1.jpg,OK,
ARLY_0011_P_2,ARLY_0011,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,8711e12f5a40473d,1349452,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_P_2.jpg,OK,
ARLY_0011_P_3,ARLY_0011,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,0f25cc5a7b3bd494,1384211,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_P_3.jpg,OK,
ARLY_0011_S_1,ARLY_0011,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,2741bf21c6a0e3f6,2161928,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_S_1.jpg,OK,
ARLY_0011_S_2,ARLY_0011,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,d4a786457878b11f,2133685,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_S_2.jpg,OK,
ARLY_0011_S_3,ARLY_0011,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,050a7e05d56e0507,2178190,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0011_S_3.jpg,OK,
ARLY_0012_P_1,ARLY_0012,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,a47ab3bb60790d65,1359893,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_P_1.jpg,OK,
ARLY_0012_P_2,ARLY_0012,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,297fb63d9df94117,1400964,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_P_2.jpg,OK,
ARLY_0012_P_3,ARLY_0012,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,ecf2ae0aaae03e1a,1408545,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_P_3.jpg,OK,
ARLY_0012_S_1,ARLY_0012,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,1d6ae1a5b492fd13,1856960,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_S_1.jpg,OK,
ARLY_0012_S_2,ARLY_0012,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,f112afb76adbcb4b,2254008,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_S_2.jpg,OK,
ARLY_0012_S_3,ARLY_0012,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,5801dd87af8c3a37,2133940,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0012_S_3.jpg,OK,
ARLY_0013_P_1,ARLY_0013,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,5dfc2624bec59e27,80339,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_P_1.jpg,OK,
ARLY_0013_P_2,ARLY_0013,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,8dff6b78f0bfe533,79842,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_P_2.jpg,OK,
ARLY_0013_P_3,ARLY_0013,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,4d464764f870c0ed,75185,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_P_3.jpg,OK,
ARLY_0013_S_1,ARLY_0013,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,497d753e254ce5b4,388925,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_S_1.jpg,OK,
ARLY_0013_S_2,ARLY_0013,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,927a50dd4e456d1e,319919,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_S_2.jpg,OK,
ARLY_0013_S_3,ARLY_0013,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,c443396d1d2ffd49,434978,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0013_S_3.jpg,OK,
ARLY_0014_P_1,ARLY_0014,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,8ace3c513e8b7bfb,1385620,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_P_1.jpg,OK,
ARLY_0014_P_2,ARLY_0014,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,d2622efd07713af5,1415055,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_P_2.jpg,OK,
ARLY_0014_P_3,ARLY_0014,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,94e334876fa4d19e,1450214,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_P_3.jpg,OK,
ARLY_0014_S_1,ARLY_0014,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,305382597f735089,2102588,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_S_1.jpg,OK,
ARLY_0014_S_2,ARLY_0014,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,38be499e890a9dc2,2032993,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0014_S_2.jpg,OK,
