inv_id,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,specimen_state,device.1,n_photos_P,n_photos_S
ARLY_PRAT_0030,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0031,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0032,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0033,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0034,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0035,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0036,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0037,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0038,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0039,,,2017.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0040,,,2016.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,H.Mouret,2017.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0041,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2023.0,pinned,Canon EOS 70D - 40mm,2,3
ARLY_PRAT_0042,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,drone,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0043,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,drone,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0044,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0045,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0046,,,,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,4,6
