photo_id,auto_status,reviewed_status
WB1_23_0095_S_1,OK,OK
WB1_23_0095_S_2,OK,OK
WB1_23_0095_S_3,OK,OK
WB1_23_0096_S_1,OK,OK
WB1_23_0096_S_2,OK,OK
WB1_23_0096_S_3,OK,OK
WB1_23_0097_S_1,OK,OK
WB1_23_0097_S_2,OK,OK
WB1_23_0097_S_3,OK,OK
WB1_23_0098_S_1,OK,OK
WB1_23_0098_S_2,OK,OK
WB1_23_0098_S_3,OK,OK
WB1_23_0099_S_1,OK,OK
WB1_23_0099_S_2,OK,OK
WB1_23_0099_S_3,OK,OK
WB1_23_0106_S_1,FAILED,FAILED
WB1_23_0106_S_2,FAILED,FAILED
WB1_23_0106_S_3,OK,OK
WB1_23_0107_S_1,OK,OK
WB1_23_0107_S_2,OK,OK
WB1_23_0107_S_3,FAILED,FAILED
WB1_23_0108_S_1,OK,OK
WB1_23_0108_S_2,OK,OK
WB1_23_0108_S_3,FAILED,FAILED
WB1_23_0109_S_1,OK,OK
WB1_23_0109_S_2,OK,OK
WB1_23_0110_S_1,OK,OK
WB1_23_0110_S_2,OK,OK
WB1_23_0111_S_1,FAILED,FAILED
WB1_23_0111_S_2,OK,OK
WB1_23_0111_S_3,OK,OK
WB1_23_0112_S_1,OK,OK
WB1_23_0112_S_2,OK,OK
WB1_23_0113_S_1,OK,OK
WB1_23_0113_S_2,OK,OK
WB1_23_0113_S_3,OK,OK
WB1_23_0114_S_1,OK,OK
WB1_23_0114_S_2,OK,OK
WB1_23_0114_S_3,OK,OK
WB1_23_0114_S_4,OK,OK
WB1_23_0115_S_1,SUSPECT,SUSPECT
WB1_23_0115_S_2,OK,OK
WB1_23_0115_S_3,FAILED,FAILED
WB1_23_0116_S_2,OK,OK
WB1_23_0116_S_3,OK,OK
WB1_23_0117_S_1,OK,OK
WB1_23_0117_S_2,OK,OK
WB1_23_0117_S_3,OK,OK
WB1_23_0118_S_1,OK,OK
WB1_23_0118_S_2,OK,OK
WB1_23_0118_S_3,OK,OK
WB1_23_0119_S_1,OK,OK
WB1_23_0119_S_2,OK,OK
WB1_23_0119_S_3,OK,OK
WB1_23_0120_S_1,OK,OK
WB1_23_0120_S_2,OK,OK
WB1_23_0121_S_2,OK,OK
WB1_23_0121_S_3,OK,OK
WB1_23_0122_S_1,OK,OK
WB1_23_0122_S_2,OK,OK
WB1_23_0122_S_3,OK,OK
WB1_23_0123_S_1,OK,OK
WB1_23_0123_S_2,OK,OK
WB1_23_0123_S_3,OK,OK
WB1_23_0124_S_1,FAILED,FAILED
WB1_23_0124_S_2,OK,OK
WB1_23_0124_S_3,OK,OK
WB1_23_0125_S_1,OK,OK
WB1_23_0125_S_2,OK,OK
WB1_23_0125_S_3,OK,OK
WB1_23_0126_S_1,OK,OK
WB1_23_0126_S_2,OK,OK
WB1_23_0126_S_3,OK,OK
WB1_23_0127_S_1,OK,OK
WB1_23_0127_S_2,OK,OK
WB1_23_0127_S_3,OK,OK
WB1_23_0128_S_1,OK,OK
WB1_23_0128_S_2,OK,OK
WB1_23_0128_S_3,OK,OK
WB1_23_0129_S_1,OK,OK
WB1_23_0129_S_2,OK,OK
WB1_23_0129_S_3,OK,OK
WB1_23_0129_S_4,OK,OK
WB1_23_0130_S_1,OK,OK
WB1_23_0130_S_2,OK,OK
WB1_23_0130_S_3,OK,OK
WB1_23_0131_S_1,OK,OK
WB1_23_0131_S_2,OK,OK
WB1_23_0131_S_3,OK,OK
WB1_23_0132_S_1,OK,OK
WB1_23_0132_S_2,OK,OK
WB1_23_0132_S_3,OK,OK
WB1_23_0133_S_1,OK,OK
WB1_23_0133_S_2,OK,OK
WB1_23_0133_S_3,OK,OK
WB1_23_0134_S_1,OK,OK
WB1_23_0134_S_2,OK,OK
WB1_23_0134_S_3,OK,OK
WB1_23_0135_S_1,FAILED,FAILED
WB1_23_0135_S_2,OK,OK
WB1_23_0135_S_3,OK,OK
WB1_23_0135_S_4,OK,OK
WB1_23_0136_S_1,FAILED,FAILED
WB1_23_0137_S_1,OK,OK
WB1_23_0138_S_1,OK,OK
WB1_23_0139_S_1,OK,OK
WB1_23_0140_S_1,OK,OK
WB1_23_0141_S_1,OK,OK
WB1_23_0142_S_1,OK,OK
WB1_23_0143_S_1,OK,OK
WB1_23_0144_S_1,OK,OK
WB1_23_0145_S_1,OK,OK
WB1_23_0146_S_1,OK,OK
WB1_23_0147_S_1,OK,OK
WB1_23_0148_S_1,OK,OK
WB1_23_0149_S_1,OK,OK
WB1_23_0150_S_1,OK,OK
WB1_23_0151_S_1,OK,OK
WB1_23_0152_S_1,OK,OK
WB1_23_0153_S_1,OK,OK
WB1_23_0154_S_1,OK,OK
