id,image,status,score,reason
468610495291809647,data\images\crop\organized\organized_Znieff_galibier_P1_0680d6c33de35f6f.jpg,OK,13.594158355977715,
473271122209070489,data\images\crop\organized\organized_ABAURA8606_S2_0691659401b8dd99.jpg,OK,13.501191578335444,
473435967133707419,data\images\crop\organized\organized_ABAURA8151_P2_0691fb80f4e5ec9b.jpg,OK,13.655625579581871,
473603978653692009,data\images\crop\terrain\terrain_WB1_23_0070_ligia2_0692944f2fdd7069.jpg,OK,13.498493473468418,
483346074332742080,data\images\crop\organized\organized_N628_P2_06b530b1982ec1c0.jpg,OK,5.0131488565609965,
487971652355599706,data\images\crop\terrain\terrain_WB1_23_0036_guilhem1_06c59fa1e71dad5a.jpg,FAILED,inf,"6 landmarks, 18 attendus"
488481926050939240,data\images\crop\organized\organized_ABAURA8764_S1_06c76fb941770168.jpg,OK,13.602780514468183,
498584219808920241,data\images\crop\organized\organized_OPIE_Lapi_220620d_S3_06eb53b4d05372b1.jpg,OK,13.57502733074483,
500043330137484125,data\images\crop\organized\organized_15L2021-1732_S1_06f082c26925eb5d.jpg,OK,5.716869300523537,
501407170415364800,data\images\crop\organized\organized_NoName5_S2_06f55b2a38710ac0.jpg,OK,12.478129940541045,
507673370658777307,data\images\crop\organized\organized_FR15_ABOM180720054_P2_070b9e3da80aa8db.jpg,OK,12.485846446750903,
509678682308355811,data\images\crop\organized\organized_FR15_ABOM180720048_S2_0712be0fa89426e3.jpg,OK,12.507638321738254,
516589840763761476,data\images\crop\organized\organized_ABAURA8238d_S1_072b4bb9214cb344.jpg,OK,13.51840101120737,
519357950814988726,data\images\crop\organized\organized_FR15ABOM210821212_P2_0735214df99a29b6.jpg,OK,12.83725237126328,
523742996706671771,data\images\crop\organized\organized_ABAURA8207f_S3_0744b57b084cbc9b.jpg,OK,6.191369410609707,
525915255319874627,data\images\crop\terrain\terrain_WB1_23_0076_tarek2_074c6d23674ccc43.jpg,OK,13.549963107757328,
526436425666662689,data\images\crop\organized\organized_FR73ABOM200722019_P2_074e4723d4b01121.jpg,OK,13.499681629829885,
538616121810493130,data\images\crop\terrain\terrain_WB1_23_0092_basile2_07798c8252d01eca.jpg,OK,13.523756216793409,
540768721956029181,data\images\crop\organized\organized_FR04ABOM220722055_S2_0781324999d4c2fd.jpg,OK,12.536784907554445,
542430138491261405,data\images\crop\organized\organized_CollecYvan3_S3_07871956483cd1dd.jpg,OK,13.655484404543724,
546405261307833143,data\images\crop\organized\organized_CD388860b_S2_079538b0afa86b37.jpg,OK,5.761573110841163,
553438941298709906,data\images\crop\organized\organized_FR15ABOM210822013_P1_07ae35c8ecfa5592.jpg,OK,13.513474813278807,
570168334526244262,data\images\crop\terrain\terrain_WB1_23_0003_charlotte1_07e9a514519ce5a6.jpg,FAILED,inf,"13 landmarks, 18 attendus"
570539297591657758,data\images\crop\organized\organized_CD388623_P2_07eaf677e35a051e.jpg,OK,5.851970277982244,
588901513831650592,data\images\crop\organized\organized_ABAURA4936_P1_082c32ce83a01520.jpg,OK,13.576718419875382,
602770154253843411,data\images\crop\terrain\terrain_WB1_23_0068_ligia2_085d7842fd81fbd3.jpg,OK,13.604678249530085,
622924466537457945,data\images\crop\organized\organized_2020.04013_S2_08a512807ddd6919.jpg,OK,13.48239014282432,
