image_id,specimen_id,dataset,collector,device_type,shot_index,raw_path,source_root,naming,ext,file_size_bytes,content_hash,status_ingest,is_duplicate_content
e0c72175a6f9dbea,FR15_ABOM09082020078,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM09082020078_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,2152266,e0c72175a6f9dbea,parsed_ok,False
61b0fdaa4a0bde1f,15L2021-1585,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/15L2021-1585_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1625203,61b0fdaa4a0bde1f,parsed_ok,False
6f2b80b886ab787e,FR15_ABOM25082020007,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM25082020007_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1806189,6f2b80b886ab787e,parsed_ok,False
75e6b78cc52fb222,FR15_ABOM17082020015,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM17082020015_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1749749,75e6b78cc52fb222,parsed_ok,False
3bd3f0b1a8b7f1a5,FR15_ABOM25082020007,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM25082020007_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1428350,3bd3f0b1a8b7f1a5,parsed_ok,False
c7682df69cc5d268,15L2021-1585,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/15L2021-1585_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1844786,c7682df69cc5d268,parsed_ok,False
d62a43996d9035bc,FR15_ABOM25082020010,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/male/FR15_ABOM25082020010_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4752963,d62a43996d9035bc,parsed_ok,False
e4d8e07cbd0e8f50,2012.0034,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/2012.0034_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1602435,e4d8e07cbd0e8f50,parsed_ok,False
6e8a7b756eaeb67d,ABB-2020.00106,organized,,S,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABB-2020.00106_S1.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1889370,6e8a7b756eaeb67d,parsed_ok,False
3142fe10e6789e11,1036L,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/1036L_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1611298,3142fe10e6789e11,parsed_ok,False
49a80767708659ca,CD387324,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/CD387324_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4474465,49a80767708659ca,parsed_ok,False
7e00108eca94eed8,NoName5,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/NoName5_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,5094143,7e00108eca94eed8,parsed_ok,False
45d5517f984e3a73,BAR.2018.00342,organized,,P,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/BAR.2018.00342_P2.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4085987,45d5517f984e3a73,parsed_ok,False
0c6fced571579aa0,15G2021-1826,organized,,P,1,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/15G2021-1826_P1.JPG,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,4873621,0c6fced571579aa0,parsed_ok,False
a1fed7f1ab247494,1036L,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/1036L_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1693066,a1fed7f1ab247494,parsed_ok,False
1e5662e0adcabb91,2012.0034,organized,,S,3,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/2012.0034_S3.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1624862,1e5662e0adcabb91,parsed_ok,False
4bd9de9e204c1147,ABB-2020.00106,organized,,S,2,/Volumes/EXT DATA/IDMB/images/organized/Bombus_sylvarum/worker/ABB-2020.00106_S2.jpg,/Volumes/EXT DATA/IDMB/images/organized,organized_underscore,.jpg,1726211,4bd9de9e204c1147,parsed_ok,False
