inv_id,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,specimen_state,device.1,n_photos_S
WB1_23_0016,Bombus,ruderarius,,pro,ruderarius,20.0,128.0,,pratorum,0.0,1.0,ruderarius,1.0,1.0,Pyrenaeus,0.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0017,Bombus,sichelii,,pro,sichelii,10.0,79.0,,pratorum,0.0,0.0,lapidarius,0.0,0.0,Lapidarius,0.0,0.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0018,Bombus,sichelii,,pro,sichelii,10.0,99.0,,pratorum,0.0,0.0,sylvarum,0.0,0.0,sylvarum,0.0,0.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0019,Bombus,sichelii,,pro,sichelii,5.0,70.0,,lapidarius,0.0,1.0,lapidarius,0.0,1.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0020,Bombus,ruderarius,,pro,ruderarius,60.0,108.0,,pratorum,0.0,0.0,pratorum,0.0,0.0,pratorum,0.0,0.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0021,Bombus,ruderarius,,pro,ruderarius,10.0,110.0,,pratorum,0.0,0.0,ruderarius,1.0,1.0,ruderarius,1.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0022,Bombus,ruderarius,,pro,ruderarius,20.0,107.0,,sylvarum,0.0,0.0,pomorum,0.0,1.0,ruderarius,1.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0023,Bombus,pyrenaeus,,pro,pyrenaeus,20.0,120.0,,sylvarum,0.0,1.0,sylvarum,0.0,1.0,sylvarum,0.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0024,Bombus,soroeensis,,pro,soroeensis,20.0,95.0,,pratorum,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0025,Bombus,soroeensis,,pro,soroeensis,20.0,90.0,,pratorum,0.0,0.0,sylvarum,0.0,0.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0026,Bombus,wurflenii,,pro,wurflenii,10.0,92.0,,pratorum,0.0,0.0,pratorum,0.0,1.0,pratorum,0.0,1.0,1,7,2023,Sassière Tigne,alive,Huawai mate 10 lite,3
WB1_23_0031,Bombus,soroeensis,,accomplished amateur,soroeensis,20.0,122.0,,lapidarius,0.0,0.0,wurflenii,0.0,0.0,soroeensis,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0032,Bombus,wurflenii,,accomplished amateur,wurflenii,10.0,,,pratorum,0.0,0.0,pratorum,0.0,0.0,pratorum,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0033,Bombus,sichelii,,accomplished amateur,sichelii,10.0,100.0,,pratorum,0.0,0.0,pyrenaeus,0.0,0.0,sylvarum,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0034,Bombus,rupestris,,accomplished amateur,rupestris,10.0,94.0,,rupestris,1.0,1.0,rupestris,1.0,1.0,rupstris,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0035,Bombus,monticola,,accomplished amateur,monticola,20.0,150.0,,monticola,1.0,1.0,monticola,1.0,1.0,monticola,1.0,1.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0036,Bombus,sichelii,,accomplished amateur,sichelii,30.0,200.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0037,Bombus,rupestris,,accomplished amateur,rupestris,10.0,75.0,,rupestris,1.0,1.0,rupestris,1.0,1.0,rupestris,1.0,1.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0038,Bombus,wurflenii,,accomplished amateur,wurflenii,10.0,133.0,,monticola,0.0,0.0,wurflenii,1.0,1.0,monticola,0.0,1.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0039,Bombus,ruderarius,,accomplished amateur,ruderarius,10.0,240.0,,pratorum,0.0,0.0,pomorum,0.0,1.0,pomorum,0.0,0.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0040,Bombus,pyrenaeus,,accomplished amateur,pyrenaeus,70.0,90.0,,pratorum,0.0,0.0,Lapidarius,0.0,1.0,lapidarius,0.0,1.0,2,7,2023,La sache Tignes,alive,Samsung S10,3
WB1_23_0061,Bombus,lapidarius,,novice amateur,lapidarius,60.0,,,ruderarius,0.0,1.0,ruderarius,0.0,1.0,ruderarius,0.0,1.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,1
WB1_23_0062,Bombus,lapidarius,,novice amateur,lapidarius,90.0,140.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0063,Bombus,lapidarius,,novice amateur,lapidarius,140.0,180.0,,monticola,0.0,1.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0064,Bombus,pratorum,,novice amateur,pratorum,140.0,169.0,,sylvarum,0.0,1.0,sylvarum,0.0,1.0,sylvarum,0.0,1.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0065,Bombus,lapidarius,,novice amateur,lapidarius,120.0,249.0,,monticola,0.0,0.0,monticola,0.0,0.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0066,Bombus,lapidarius,,novice amateur,lapidarius,110.0,226.0,,pratorum,0.0,0.0,monticola,0.0,1.0,monticola,0.0,0.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0067,Bombus,pratorum,,novice amateur,pratorum,65.0,122.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0068,Bombus,soroeensis,,novice amateur,soroeensis,240.0,145.0,,pratorum,0.0,0.0,Lapidarius,0.0,0.0,pratorum,0.0,0.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0069,Bombus,pratorum,,novice amateur,pratorum,30.0,122.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0070,Bombus,pratorum,,novice amateur,pratorum,100.0,100.0,,sylvarum,0.0,1.0,monticola,0.0,1.0,monticola,0.0,1.0,8,7,2023,Isère Taillefer,alive,Huawei P30 lite,3
WB1_23_0076,Bombus,lapidarius,,pro,lapidarius,10.0,150.0,,pratorum,0.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30 ,3
WB1_23_0077,Bombus,lapidarius,,pro,lapidarius,7.0,91.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0078,Bombus,lapidarius,,pro,lapidarius,9.0,90.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0079,Bombus,lapidarius,,pro,lapidarius,10.0,210.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,lapidarius,1.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0080,Bombus,lapidarius,,pro,lapidarius,4.0,80.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0081,Bombus,lapidarius,,pro,lapidarius,15.0,105.0,,pratorum,0.0,1.0,ruderarius,0.0,1.0,ruderarius,0.0,0.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0082,Bombus,lapidarius,,pro,lapidarius,10.0,92.0,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,pratorum,0.0,1.0,19,7,2023,Bennecourt,alive,Huawei P30,3
WB1_23_0083,Bombus,lapidarius,,pro,lapidarius,12.0,79.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,Omerville,alive,Huawei P30,3
WB1_23_0084,Bombus,lapidarius,,pro,lapidarius,5.0,83.0,,pratorum,0.0,1.0,soroeensis,0.0,1.0,soroeensis,0.0,0.0,19,7,2023,Omerville,alive,Huawei P30,3
WB1_23_0085,Bombus,lapidarius,,pro,lapidarius,10.0,79.0,,pratorum,0.0,1.0,pratorum,0.0,1.0,pratorum,0.0,0.0,19,7,2023,St Gervais,alive,Huawei P30,3
WB1_23_0086,Bombus,sylvarum,,pro,sylvarum,13.0,74.0,,lapidarius,0.0,0.0,sylvarum,1.0,1.0,sylvarum,1.0,1.0,19,7,2023,St Gervais,alive,Huawei P30,3
WB1_23_0087,Bombus,sylvarum,,pro,sylvarum,5.0,65.0,,pratorum,0.0,0.0,pratorum,0.0,1.0,pratorum,0.0,1.0,19,7,2023,St Gervais,alive,Huawei P30,3
WB1_23_0091,Bombus,sylvarum,,accomplished amateur,sylvarum,5.0,92.0,,,,,pratorum,0.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0092,Bombus,lapidarius,,accomplished amateur,lapidarius,15.0,80.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0093,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,90.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0094,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,70.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0095,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,72.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0096,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,80.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0097,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,76.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0098,Bombus,pratorum,,accomplished amateur,pratorum,10.0,92.0,,,,,pratorum,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0099,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,55.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,alive,Samsung s10,3
WB1_23_0106,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,108.0,,pratorum,0.0,1.0,ruderarius,0.0,1.0,lapidarius,1.0,1.0,22,7,2023,St Didier,alive,Fairphone 3+,3
WB1_23_0107,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,120.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,pratorum,0.0,1.0,22,7,2023,St Didier,alive,Fairphone 3+,3
WB1_23_0108,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,99.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,pratorum,0.0,1.0,22,7,2023,St Didier,alive,Fairphone 3+,3
WB1_23_0109,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,102.0,,pratorum,0.0,1.0,Pyreaneus,0.0,1.0,sylvarum,0.0,0.0,22,7,2023,St Didier,alive,Fairphone 3+,2
WB1_23_0110,Bombus,sylvarum,,accomplished amateur,sylvarum,5.0,210.0,,pratorum,0.0,1.0,sylvarum,1.0,1.0,pratorum,0.0,1.0,22,7,2023,S13,alive,Fairphone 3+,2
WB1_23_0111,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,120.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,lapidarius,1.0,1.0,22,7,2023,S13,alive,Fairphone 3+,3
WB1_23_0112,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,80.0,,pratorum,0.0,1.0,monticola,0.0,1.0,pratorum,0.0,1.0,22,7,2023,S13,alive,Fairphone 3+,2
WB1_23_0113,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,65.0,,sylvarum,0.0,0.0,sylvarum,0.0,0.0,pyrenaeus,0.0,1.0,22,7,2023,S13,alive,Fairphone 3+,3
WB1_23_0114,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,100.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,wurflenii,0.0,1.0,22,7,2023,S13,alive,Fairphone 3+,4
WB1_23_0115,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,85.0,,pratorum,0.0,0.0,ruderarius,0.0,1.0,ruderarius,0.0,0.0,22,7,2023,S13,alive,Fairphone 3+,3
WB1_23_0116,Bombus,soroeensis,,pro,soroeensis,5.0,140.0,,lapidarius,0.0,0.0,lapidarius,0.0,0.0,ruderarius,0.0,0.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0117,Bombus,pratorum,,pro,pratorum,5.0,60.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0118,Bombus,lapidarius,,pro,lapidarius,5.0,62.0,,lapidarius,1.0,1.0,Monticola,0.0,1.0,monticola,0.0,1.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0119,Bombus,pratorum,,pro,pratorum,5.0,67.0,,pratorum,1.0,1.0,Lapidarius,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0120,Bombus,soroeensis,,pro,soroeensis,10.0,60.0,,lapidarius,0.0,0.0,Lapidarius,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0121,Bombus,sylvarum,,pro,sylvarum,5.0,62.0,,lapidarius,0.0,0.0,Monticola,0.0,0.0,lapidarius,0.0,1.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0122,Bombus,pratorum,,pro,pratorum,5.0,77.0,,lapidarius,0.0,1.0,sylvarum,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0123,Bombus,pratorum,,pro,pratorum,5.0,53.0,,lapidarius,0.0,1.0,Monticola,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0124,Bombus,pratorum,,pro,pratorum,5.0,48.0,,lapidarius,0.0,1.0,Lapidarius,0.0,1.0,lapidarius,0.0,1.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0125,Bombus,confusus,,pro,confusus,5.0,48.0,,confusus,1.0,1.0,confusus,1.0,1.0,confusus,1.0,1.0,22,7,2023,S13,alive,Iphone 12,3
WB1_23_0126,Bombus,rupestris,,novice amateur,rupestris,480.0,150.0,left handed,,,,rupestris,1.0,1.0,Rupestris,1.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0127,Bombus,lapidarius,,novice amateur,lapidarius,330.0,155.0,left handed,,,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0128,Bombus,lapidarius,,novice amateur,lapidarius,340.0,130.0,left handed,,,,lapidarius,1.0,1.0,Lapidarius,1.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0129,Bombus,sylvarum,,novice amateur,sylvarum,40.0,100.0,left handed,,,,pratorum,0.0,1.0,lapidarius,0.0,0.0,25,7,2023,Site 1 fred,alive,Samsung A52S,4
WB1_23_0130,Bombus,sylvarum,,novice amateur,sylvarum,142.0,135.0,left handed,,,,lapidarius,0.0,1.0,lapidarius,0.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0131,Bombus,pratorum,,novice amateur,pratorum,190.0,104.0,left handed,,,,lapidarius,0.0,1.0,lapidarius,0.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0132,Bombus,lapidarius,,novice amateur,lapidarius,163.0,105.0,left handed,,,,lapidarius,1.0,1.0,lapidarius,1.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0133,Bombus,pratorum,,novice amateur,pratorum,64.0,100.0,left handed,,,,lapidarius,0.0,0.0,lapidarius,0.0,0.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0134,Bombus,lapidarius,,novice amateur,lapidarius,149.0,220.0,left handed,,,,lapidarius,1.0,1.0,pratorum,0.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,3
WB1_23_0135,Bombus,lapidarius,,novice amateur,lapidarius,137.0,115.0,left handed,,,,lapidarius,1.0,1.0,lapidarius,1.0,1.0,25,7,2023,Site 1 fred,alive,Samsung A52S,4
WB1_23_0136,Bombus,rupestris,,pro,rupestris,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0137,Bombus,rupestris,,pro,rupestris,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0138,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0139,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0140,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0141,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0142,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0143,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0144,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0145,Bombus,lapidarius,,pro,lapidarius,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0146,Bombus,lapidarius,,pro,lapidarius,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0147,Bombus,sp (wurflenii ou pratorum),,pro,sp (wurflenii ou pratorum),,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0148,Bombus,lapidarius,,pro,lapidarius,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0149,Bombus,lapidarius,,pro,lapidarius,,,,,,,,,,,,,27,5,2023,Col de la Chau,alive,Pixel 7 Pro,1
WB1_23_0150,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Grange de Vaulneyre,alive,Pixel 7 Pro,1
WB1_23_0151,Bombus,sylvestris,,pro,sylvestris,,,,,,,,,,,,,27,5,2023,Grange de Vaulneyre,alive,Pixel 7 Pro,1
WB1_23_0152,Bombus,sichelii,,pro,sichelii,,,,,,,,,,,,,27,5,2023,Grange de Vaulneyre,alive,Pixel 7 Pro,1
WB1_23_0153,Bombus,pratorum,,pro,pratorum,,,,,,,,,,,,,27,5,2023,Grange de Vaulneyre,alive,Pixel 7 Pro,1
WB1_23_0154,Bombus,mesomelas,,pro,mesomelas,,,,,,,,,,,,,28,5,2023,Font d'Urle,alive,Pixel 7 Pro,1
