photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
WB1_23_0016_S_3,WB1_23_0016,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,035fdebe38c0cbcc,373523,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0016_S_3.jpg,OK,
WB1_23_0017_S_1,WB1_23_0017,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,178e31f117d29e7b,94160,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0017_S_1.jpg,OK,
WB1_23_0017_S_2,WB1_23_0017,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,031cc18cdaa5ca6b,333171,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0017_S_2.jpg,OK,
WB1_23_0017_S_3,WB1_23_0017,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,d2e69456e9e289e4,383792,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0017_S_3.jpg,OK,
WB1_23_0018_S_1,WB1_23_0018,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,1f4ab472fd445694,377782,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0018_S_1.jpg,OK,
WB1_23_0018_S_2,WB1_23_0018,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,a1bf0ca52ca1d323,77117,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0018_S_2.jpg,OK,
WB1_23_0018_S_3,WB1_23_0018,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,f9dbbebba1a9538f,377879,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0018_S_3.jpg,OK,
WB1_23_0019_S_1,WB1_23_0019,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,935652d289dc8ae1,339517,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0019_S_1.jpg,OK,
WB1_23_0019_S_2,WB1_23_0019,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,7ab08e929b50df60,356711,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0019_S_2.jpg,OK,
WB1_23_0019_S_3,WB1_23_0019,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,d109c5940b63b4db,76411,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0019_S_3.jpg,OK,
WB1_23_0020_S_1,WB1_23_0020,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,a9d1e425e3ba3483,406867,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0020_S_1.jpg,OK,
WB1_23_0020_S_2,WB1_23_0020,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,fa4f63462bad7798,355929,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0020_S_2.jpg,OK,
WB1_23_0020_S_3,WB1_23_0020,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,7ced886f5df94a7e,264926,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0020_S_3.jpg,OK,
WB1_23_0021_S_1,WB1_23_0021,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,aa2c8fd7bfa9d1c1,328366,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0021_S_1.jpg,OK,
WB1_23_0021_S_2,WB1_23_0021,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,e4d52f7e7752966a,383887,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0021_S_2.jpg,OK,
WB1_23_0021_S_3,WB1_23_0021,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,2618918f6e7b5c66,355728,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0021_S_3.jpg,OK,
WB1_23_0022_S_1,WB1_23_0022,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,8f9029f5bec0237e,354882,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0022_S_1.jpg,OK,
WB1_23_0022_S_2,WB1_23_0022,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,7194b7372193bbc4,388874,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0022_S_2.jpg,OK,
WB1_23_0022_S_3,WB1_23_0022,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,e3791c7c7f57f1f4,351540,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0022_S_3.jpg,OK,
WB1_23_0023_S_1,WB1_23_0023,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,2133984f344b505a,448379,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0023_S_1.jpg,OK,
WB1_23_0023_S_2,WB1_23_0023,S,Huawai mate 10 lite,2,Yvan Brugerolles,.jpg,85e12d7497cd878c,234507,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0023_S_2.jpg,OK,
WB1_23_0023_S_3,WB1_23_0023,S,Huawai mate 10 lite,3,Yvan Brugerolles,.jpg,c5407335e8d9dc22,323688,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0023_S_3.jpg,OK,
WB1_23_0024_S_1,WB1_23_0024,S,Huawai mate 10 lite,1,Yvan Brugerolles,.jpg,9a0b1f5c389f7312,312460,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0024_S_1.jpg,OK,
