original_id,source_type,photographer,device_type,shot_index,raw_path,ext,file_size_bytes,content_hash,status,status_reason
FR15ABOM220821043,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821043_S3.jpg,.jpg,1636776,7cc2c4a25e17be0a,OK,
FR15ABOM220821068,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821068_P1.JPG,.jpg,5205386,bb4ba89b3b3b17f6,OK,
FR15ABOM220821068,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821068_P2.JPG,.jpg,5315987,1086e6c580326114,OK,
FR15ABOM220821068,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821068_S1.jpg,.jpg,2036973,2a6fd42740afc3e5,OK,
FR15ABOM220821068,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821068_S2.jpg,.jpg,1578896,63dfd0da53c9e4c5,OK,
FR15ABOM220821068,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821068_S3.jpg,.jpg,1918071,398b45df2cc9ca09,OK,
FR15ABOM220821070,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821070_P1.JPG,.jpg,5206140,1625d333fc11d8e3,OK,
FR15ABOM220821070,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821070_P2.JPG,.jpg,4885097,9c8e9be1d580da80,OK,
FR15ABOM220821070,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821070_S1.jpg,.jpg,1791194,313bbf85bfd136d5,OK,
FR15ABOM220821070,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821070_S2.jpg,.jpg,1751080,31e54dffa524b66b,OK,
FR15ABOM220821070,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM220821070_S3.jpg,.jpg,1774322,9ba3d580fc508400,OK,
FR15_ABOM07082020038,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020038_P1.JPG,.jpg,5562550,7a69b27655238644,OK,
FR15_ABOM07082020038,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020038_P2.JPG,.jpg,5191875,93e1763cecb5f9a6,OK,
FR15_ABOM07082020038,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020038_S1.jpg,.jpg,1762102,244e1e2377e64d76,OK,
FR15_ABOM07082020038,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020038_S2.jpg,.jpg,1914409,9b20d646793f738e,OK,
FR15_ABOM07082020038,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020038_S3.jpg,.jpg,1572041,c95c3a3cadc7ccf1,OK,
FR15_ABOM07082020082,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020082_P1.JPG,.jpg,4740146,71235b2836e7bfb3,OK,
FR15_ABOM07082020082,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020082_P2.JPG,.jpg,4794641,22a02008da9075fd,OK,
FR15_ABOM07082020082,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020082_S1.jpg,.jpg,1559584,a62ffa5578f1ad75,OK,
FR15_ABOM07082020082,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020082_S2.jpg,.jpg,1775737,97d53db465ce033e,OK,
FR15_ABOM07082020082,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM07082020082_S3.jpg,.jpg,1631435,81fb781409e74bee,OK,
FR15_ABOM080820007,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820007_P1.JPG,.jpg,4534945,74e04ca7a21e914d,OK,
FR15_ABOM080820007,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM080820007_P2.JPG,.jpg,4686577,9185ba731800a21f,OK,
