photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
WB1_23_0034_S_3,WB1_23_0034,SUSPECT,only_14_of_19_expected_maxima,14,weights,0.0888,2026-09-11T09:28:05+00:00
WB1_23_0035_S_1,WB1_23_0035,OK,,19,weights,0.0905,2026-09-11T09:28:05+00:00
WB1_23_0035_S_2,WB1_23_0035,OK,,19,weights,0.0887,2026-09-11T09:28:05+00:00
WB1_23_0035_S_3,WB1_23_0035,OK,,19,weights,0.0911,2026-09-11T09:28:05+00:00
WB1_23_0036_S_1,WB1_23_0036,OK,,19,weights,0.0909,2026-09-11T09:28:05+00:00
WB1_23_0036_S_2,WB1_23_0036,OK,,19,weights,0.0896,2026-09-11T09:28:05+00:00
WB1_23_0036_S_3,WB1_23_0036,OK,,19,weights,0.0912,2026-09-11T09:28:06+00:00
WB1_23_0037_S_1,WB1_23_0037,OK,,19,weights,0.0897,2026-09-11T09:28:06+00:00
WB1_23_0037_S_2,WB1_23_0037,OK,,19,weights,0.0892,2026-09-11T09:28:06+00:00
WB1_23_0037_S_3,WB1_23_0037,SUSPECT,only_17_of_19_expected_maxima,17,weights,0.0899,2026-09-11T09:28:06+00:00
WB1_23_0038_S_1,WB1_23_0038,OK,,19,weights,0.0904,2026-09-11T09:28:06+00:00
WB1_23_0038_S_2,WB1_23_0038,OK,,19,weights,0.0921,2026-09-11T09:28:06+00:00
WB1_23_0038_S_3,WB1_23_0038,OK,,19,weights,0.0907,2026-09-11T09:28:06+00:00
WB1_23_0039_S_1,WB1_23_0039,OK,,19,weights,0.0907,2026-09-11T09:28:06+00:00
WB1_23_0039_S_2,WB1_23_0039,OK,,19,weights,0.0896,2026-09-11T09:28:06+00:00
WB1_23_0039_S_3,WB1_23_0039,OK,,19,weights,0.0894,2026-09-11T09:28:06+00:00
WB1_23_0040_S_1,WB1_23_0040,OK,,19,weights,0.0887,2026-09-11T09:28:06+00:00
WB1_23_0040_S_2,WB1_23_0040,OK,,19,weights,0.0908,2026-09-11T09:28:07+00:00
WB1_23_0040_S_3,WB1_23_0040,OK,,19,weights,0.0903,2026-09-11T09:28:07+00:00
WB1_23_0062_S_1,WB1_23_0062,OK,,19,weights,0.0902,2026-09-11T09:28:07+00:00
WB1_23_0062_S_2,WB1_23_0062,OK,,19,weights,0.0900,2026-09-11T09:28:07+00:00
WB1_23_0062_S_3,WB1_23_0062,OK,,19,weights,0.0919,2026-09-11T09:28:07+00:00
WB1_23_0063_S_1,WB1_23_0063,OK,,19,weights,0.0893,2026-09-11T09:28:07+00:00
WB1_23_0063_S_2,WB1_23_0063,OK,,19,weights,0.0899,2026-09-11T09:28:07+00:00
WB1_23_0063_S_3,WB1_23_0063,OK,,19,weights,0.0896,2026-09-11T09:28:07+00:00
WB1_23_0064_S_1,WB1_23_0064,OK,,19,weights,0.0915,2026-09-11T09:28:07+00:00
WB1_23_0064_S_2,WB1_23_0064,OK,,19,weights,0.0938,2026-09-11T09:28:07+00:00
WB1_23_0064_S_3,WB1_23_0064,OK,,19,weights,0.1003,2026-09-11T09:28:07+00:00
WB1_23_0065_S_1,WB1_23_0065,OK,,19,weights,0.0903,2026-09-11T09:28:08+00:00
WB1_23_0065_S_2,WB1_23_0065,OK,,19,weights,0.0908,2026-09-11T09:28:08+00:00
WB1_23_0065_S_3,WB1_23_0065,OK,,19,weights,0.0892,2026-09-11T09:28:08+00:00
WB1_23_0066_S_1,WB1_23_0066,OK,,19,weights,0.0948,2026-09-11T09:28:08+00:00
WB1_23_0066_S_2,WB1_23_0066,OK,,19,weights,0.0963,2026-09-11T09:28:08+00:00
WB1_23_0066_S_3,WB1_23_0066,OK,,19,weights,0.0963,2026-09-11T09:28:08+00:00
WB1_23_0067_S_1,WB1_23_0067,OK,,19,weights,0.0916,2026-09-11T09:28:08+00:00
WB1_23_0067_S_2,WB1_23_0067,OK,,19,weights,0.0928,2026-09-11T09:28:08+00:00
WB1_23_0067_S_3,WB1_23_0067,OK,,19,weights,0.0946,2026-09-11T09:28:08+00:00
WB1_23_0068_S_1,WB1_23_0068,OK,,19,weights,0.0939,2026-09-11T09:28:08+00:00
WB1_23_0068_S_2,WB1_23_0068,OK,,19,weights,0.0942,2026-09-11T09:28:08+00:00
WB1_23_0068_S_3,WB1_23_0068,OK,,19,weights,0.0945,2026-09-11T09:28:09+00:00
WB1_23_0069_S_1,WB1_23_0069,OK,,19,weights,0.0927,2026-09-11T09:28:09+00:00
WB1_23_0069_S_2,WB1_23_0069,OK,,19,weights,0.0969,2026-09-11T09:28:09+00:00
WB1_23_0069_S_3,WB1_23_0069,OK,,19,weights,0.0983,2026-09-11T09:28:09+00:00
WB1_23_0070_S_1,WB1_23_0070,OK,,19,weights,0.0975,2026-09-11T09:28:09+00:00
WB1_23_0070_S_2,WB1_23_0070,OK,,19,weights,0.0948,2026-09-11T09:28:09+00:00
WB1_23_0070_S_3,WB1_23_0070,OK,,19,weights,0.0939,2026-09-11T09:28:09+00:00
WB1_23_0076_S_1,WB1_23_0076,OK,,19,weights,0.0930,2026-09-11T09:28:09+00:00
WB1_23_0076_S_2,WB1_23_0076,OK,,19,weights,0.0908,2026-09-11T09:28:09+00:00
