tps_id,inv_id,species,caste,device,device_tag
174,ARLY_PRAT_0016,pratorum,worker,Canon EOS 70D - 40mm,S1
175,ARLY_PRAT_0016,pratorum,worker,Canon EOS 70D - 40mm,S2
176,ARLY_PRAT_0016,pratorum,worker,Canon EOS 70D - 40mm,S3
177,ARLY_PRAT_0017,pratorum,worker,Canon EOS 70D - 40mm,P1
178,ARLY_PRAT_0017,pratorum,worker,Canon EOS 70D - 40mm,P2
179,ARLY_PRAT_0017,pratorum,worker,Canon EOS 70D - 40mm,S1
180,ARLY_PRAT_0017,pratorum,worker,Canon EOS 70D - 40mm,S2
181,ARLY_PRAT_0017,pratorum,worker,Canon EOS 70D - 40mm,S3
182,ARLY_PRAT_0018,pratorum,fondatrice,Smartphone Samsung s10,P1
183,ARLY_PRAT_0018,pratorum,fondatrice,Smartphone Samsung s10,P2
184,ARLY_PRAT_0018,pratorum,fondatrice,Smartphone Samsung s10,S1
185,ARLY_PRAT_0018,pratorum,fondatrice,Smartphone Samsung s10,S2
186,ARLY_PRAT_0018,pratorum,fondatrice,Smartphone Samsung s10,S3
187,ARLY_PRAT_0019,pratorum,fondatrice,Smartphone Samsung s10,P1
188,ARLY_PRAT_0019,pratorum,fondatrice,Smartphone Samsung s10,P2
189,ARLY_PRAT_0019,pratorum,fondatrice,Smartphone Samsung s10,S1
190,ARLY_PRAT_0019,pratorum,fondatrice,Smartphone Samsung s10,S2
191,ARLY_PRAT_0019,pratorum,fondatrice,Smartphone Samsung s10,S3
192,ARLY_PRAT_0020,pratorum,worker,Canon EOS 70D - 40mm,P1
193,ARLY_PRAT_0020,pratorum,worker,Canon EOS 70D - 40mm,P2
194,ARLY_PRAT_0020,pratorum,worker,Canon EOS 70D - 40mm,S1
195,ARLY_PRAT_0020,pratorum,worker,Canon EOS 70D - 40mm,S2
196,ARLY_PRAT_0020,pratorum,worker,Canon EOS 70D - 40mm,S3
197,ARLY_PRAT_0021,pratorum,fondatrice,Smartphone Samsung s10,P1
198,ARLY_PRAT_0021,pratorum,fondatrice,Smartphone Samsung s10,P2
199,ARLY_PRAT_0021,pratorum,fondatrice,Smartphone Samsung s10,S1
200,ARLY_PRAT_0021,pratorum,fondatrice,Smartphone Samsung s10,S2
201,ARLY_PRAT_0021,pratorum,fondatrice,Smartphone Samsung s10,S3
202,ARLY_PRAT_0022,pratorum,worker,Canon EOS 70D - 40mm,P1
203,ARLY_PRAT_0022,pratorum,worker,Canon EOS 70D - 40mm,P2
204,ARLY_PRAT_0022,pratorum,worker,Canon EOS 70D - 40mm,S1
205,ARLY_PRAT_0022,pratorum,worker,Canon EOS 70D - 40mm,S2
206,ARLY_PRAT_0022,pratorum,worker,Canon EOS 70D - 40mm,S3
207,ARLY_PRAT_0023,pratorum,fondatrice,Smartphone Samsung s10,P1
208,ARLY_PRAT_0023,pratorum,fondatrice,Smartphone Samsung s10,P2
209,ARLY_PRAT_0023,pratorum,fondatrice,Smartphone Samsung s10,S1
210,ARLY_PRAT_0023,pratorum,fondatrice,Smartphone Samsung s10,S2
211,ARLY_PRAT_0023,pratorum,fondatrice,Smartphone Samsung s10,S3
212,ARLY_PRAT_0024,pyrenaeus,worker,Smartphone Samsung s10,P1
213,ARLY_PRAT_0024,pyrenaeus,worker,Smartphone Samsung s10,P2
214,ARLY_PRAT_0024,pyrenaeus,worker,Smartphone Samsung s10,S1
215,ARLY_PRAT_0024,pyrenaeus,worker,Smartphone Samsung s10,S2
216,ARLY_PRAT_0024,pyrenaeus,worker,Smartphone Samsung s10,S3
217,ARLY_PRAT_0025,pyrenaeus,worker,Smartphone Samsung s10,P1
218,ARLY_PRAT_0025,pyrenaeus,worker,Smartphone Samsung s10,P2
219,ARLY_PRAT_0025,pyrenaeus,worker,Smartphone Samsung s10,S1
220,ARLY_PRAT_0025,pyrenaeus,worker,Smartphone Samsung s10,S2
221,ARLY_PRAT_0025,pyrenaeus,worker,Smartphone Samsung s10,S3
222,ARLY_PRAT_0026,pratorum,worker,Smartphone Samsung s10,P1
223,ARLY_PRAT_0026,pratorum,worker,Smartphone Samsung s10,P2
224,ARLY_PRAT_0026,pratorum,worker,Smartphone Samsung s10,S1
225,ARLY_PRAT_0026,pratorum,worker,Smartphone Samsung s10,S2
226,ARLY_PRAT_0026,pratorum,worker,Smartphone Samsung s10,S3
227,ARLY_PRAT_0027,pyrenaeus,worker,Smartphone Samsung s10,P1
228,ARLY_PRAT_0027,pyrenaeus,worker,Smartphone Samsung s10,P2
229,ARLY_PRAT_0027,pyrenaeus,worker,Smartphone Samsung s10,S1
230,ARLY_PRAT_0027,pyrenaeus,worker,Smartphone Samsung s10,S2
231,ARLY_PRAT_0027,pyrenaeus,worker,Smartphone Samsung s10,S3
232,ARLY_PRAT_0028,pratorum,drone,Smartphone Samsung s10,P1
233,ARLY_PRAT_0028,pratorum,drone,Smartphone Samsung s10,P2
234,ARLY_PRAT_0028,pratorum,drone,Smartphone Samsung s10,S1
235,ARLY_PRAT_0028,pratorum,drone,Smartphone Samsung s10,S2
236,ARLY_PRAT_0028,pratorum,drone,Smartphone Samsung s10,S3
237,ARLY_PRAT_0029,pratorum,drone,Smartphone Samsung s10,P1
238,ARLY_PRAT_0029,pratorum,drone,Smartphone Samsung s10,P2
239,ARLY_PRAT_0029,pratorum,drone,Smartphone Samsung s10,S1
240,ARLY_PRAT_0029,pratorum,drone,Smartphone Samsung s10,S2
241,ARLY_PRAT_0029,pratorum,drone,Smartphone Samsung s10,S3
242,ARLY_PRAT_0030,pratorum,worker,Smartphone Samsung s10,P1
243,ARLY_PRAT_0030,pratorum,worker,Smartphone Samsung s10,P2
244,ARLY_PRAT_0030,pratorum,worker,Smartphone Samsung s10,S1
245,ARLY_PRAT_0030,pratorum,worker,Smartphone Samsung s10,S2
246,ARLY_PRAT_0030,pratorum,worker,Smartphone Samsung s10,S3
247,ARLY_PRAT_0031,pratorum,worker,Canon EOS 70D - 40mm,P1
248,ARLY_PRAT_0031,pratorum,worker,Canon EOS 70D - 40mm,P2
249,ARLY_PRAT_0031,pratorum,worker,Canon EOS 70D - 40mm,S1
250,ARLY_PRAT_0031,pratorum,worker,Canon EOS 70D - 40mm,S2
