photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ISSERTES_0160_P_2,ISSERTES_0160,2360,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0160_P_2.jpg,OK,0.0043466205094388,0.0,,0.0012
ISSERTES_0160_S_1,ISSERTES_0160,2361,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0160_S_1.jpg,OK,0.0043267466877087,0.0,,0.001
ISSERTES_0160_S_2,ISSERTES_0160,2362,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0160_S_2.jpg,OK,0.0043337321252444,0.0,,0.001
ISSERTES_0160_S_3,ISSERTES_0160,2363,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0160_S_3.jpg,OK,0.0043189011720475,0.0,,0.0011
ISSERTES_0161_P_1,ISSERTES_0161,2364,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0161_P_1.jpg,OK,0.004655362411918,0.0,,0.0011
ISSERTES_0161_P_2,ISSERTES_0161,2365,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0161_P_2.jpg,OK,0.0046401854301429,0.0,,0.0011
ISSERTES_0161_S_1,ISSERTES_0161,2366,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0161_S_1.jpg,OK,0.004662978210499,0.0,,0.0011
ISSERTES_0161_S_2,ISSERTES_0161,2367,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0161_S_2.jpg,OK,0.00468274937197,0.0,,0.0011
ISSERTES_0161_S_3,ISSERTES_0161,2368,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0161_S_3.jpg,OK,0.0046206043789577,0.0,,0.0011
ISSERTES_0162_P_1,ISSERTES_0162,2369,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0162_P_1.jpg,OK,0.0045051173260473,0.0,,0.0014
ISSERTES_0162_P_2,ISSERTES_0162,2370,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0162_P_2.jpg,OK,0.0045143306865458,0.0,,0.0061
ISSERTES_0162_S_1,ISSERTES_0162,2371,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0162_S_1.jpg,OK,0.0044671668579931,0.0,,0.0017
ISSERTES_0162_S_2,ISSERTES_0162,2372,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0162_S_2.jpg,OK,0.0044687791000917,0.0,,0.0012
ISSERTES_0162_S_3,ISSERTES_0162,2373,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0162_S_3.jpg,OK,0.0044752832013481,0.0,,0.0013
