image_id,specimen_id,tancrede_image_path,matched_via,status,reason,n_out_of_bounds,aspect_ratio_obb,aspect_ratio_crops_csv,keep
d4661d90b2c2b5c4,FR73ABOM130722005,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pyrenaeus/worker/FR73ABOM130722005_P1.JPG,tail3,OK,,0,2.1558,2.1558,
a52612d36c67242a,ABAURA8238d,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_sichelii/worker/ABAURA8238d_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.5099,2.5099,
3d59b0c95e006cfa,CD388003,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/worker/CD388003_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1954,2.1954,
7cb5e0d9b0ebe3e8,FR74ABOM170722014,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/worker/FR74ABOM170722014_P1.JPG,tail3,OK,,0,2.3406,2.3406,
364aa8658311ec46,2020.00294,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_soroeensis/worker/2020.00294_P1.JPG,tail3,OK,,0,2.3261,2.3261,
8020177f956dfa97,FR04ABOM220722060,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/male/FR04ABOM220722060_P1.JPG,tail3,OK,,0,2.3222,2.3222,
194d46dbe92a5705,ABAURA8207c,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/worker/ABAURA8207c_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2471,2.2471,
7295280ddb0c56f0,FR15_ABOM180720053,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_wurflenii/male/FR15_ABOM180720053_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2557,2.2557,
db7106406a2a4c02,CD388821,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_monticola/male/CD388821_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.3562,2.3562,
d4aa02e22ae03923,2019.02188,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pratorum/worker/2019.02188_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.2790,2.2790,
c53e929c4ab17765,FR15ABOM210822015,/Volumes/EXT DATA/IDMB/Bombus/images/collection/Bombus_pomorum/male/FR15ABOM210822015_P1.JPG,tail3,SUSPECT,19 landmark(s) hors du crop 512x256,19,2.1531,2.1531,
