idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
76,WB1_23_0031_1,OK,1410,2107,220,536,0.0,0.97,0.872,2.43,1,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0031_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0031_1.jpg
77,WB1_23_0031_2,OK,1522,2107,213,508,0.0,0.945,0.861,2.39,1,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0031_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0031_2.jpg
78,WB1_23_0031_3,OK,959,2290,209,476,0.0,0.918,0.882,2.28,6,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0031_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0031_3.jpg
79,WB1_23_0032_1,OK,1439,1807,158,374,0.0,0.703,0.786,2.38,1,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0032_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0032_1.jpg
80,WB1_23_0032_2,OK,1579,1992,150,354,0.0,0.717,0.786,2.37,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0032_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0032_2.jpg
81,WB1_23_0032_3,OK,1591,1847,150,362,0.0,0.688,0.789,2.42,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0032_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0032_3.jpg
82,WB1_23_0033_1,OK,1354,2168,138,331,0.0,0.816,0.862,2.4,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0033_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0033_1.jpg
83,WB1_23_0033_2,OK,1473,2089,130,299,0.0,0.776,0.861,2.3,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0033_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0033_2.jpg
84,WB1_23_0033_3,OK,1376,2093,169,272,0.0,0.273,0.791,1.6,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0033_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0033_3.jpg
85,WB1_23_0034_1,OK,1459,1652,358,768,0.0,0.908,0.814,2.14,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0034_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0034_1.jpg
86,WB1_23_0034_2,OK,1240,2071,386,850,0.0,0.862,0.817,2.2,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0034_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0034_2.jpg
87,WB1_23_0034_3,OK,1290,2266,319,713,0.0,0.77,0.798,2.23,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0034_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0034_3.jpg
88,WB1_23_0035_1,OK,1451,2361,217,461,0.0,0.585,0.869,2.13,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0035_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0035_1.jpg
89,WB1_23_0035_2,OK,1569,2162,181,421,0.0,0.839,0.856,2.33,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0035_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0035_2.jpg
90,WB1_23_0035_3,OK,1603,2238,185,425,0.0,0.887,0.882,2.3,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0035_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0035_3.jpg
91,WB1_23_0036_1,OK,1547,2794,232,425,0.0,0.901,0.814,1.83,4,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0036_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0036_1.jpg
92,WB1_23_0036_2,OK,1480,2449,213,496,0.0,0.861,0.822,2.33,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0036_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0036_2.jpg
93,WB1_23_0036_3,OK,1337,2152,193,445,0.0,0.907,0.913,2.31,5,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0036_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0036_3.jpg
94,WB1_23_0037_1,OK,1677,2689,354,898,0.0,0.87,0.75,2.53,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0037_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0037_1.jpg
95,WB1_23_0037_2,OK,1343,2571,291,740,0.0,0.603,0.763,2.54,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0037_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0037_2.jpg
96,WB1_23_0037_3,OK,1522,2538,303,776,0.0,0.709,0.771,2.56,1,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0037_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0037_3.jpg
97,WB1_23_0038_1,OK,1471,2526,154,350,0.0,0.962,0.849,2.28,1,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0038_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0038_1.jpg
98,WB1_23_0038_2,OK,1380,2473,126,295,0.0,0.849,0.796,2.34,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0038_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0038_2.jpg
99,WB1_23_0038_3,OK,1479,2083,126,295,0.0,0.518,0.837,2.34,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0038_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0038_3.jpg
100,WB1_23_0039_1,OK,1538,1858,157,398,0.0,0.766,0.871,2.53,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0039_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0039_1.jpg
101,WB1_23_0039_2,OK,1020,1654,158,394,0.0,0.861,0.854,2.5,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0039_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0039_2.jpg
102,WB1_23_0039_3,OK,1167,2424,185,469,0.0,0.895,0.86,2.53,3,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0039_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0039_3.jpg
103,WB1_23_0040_1,OK,1406,2170,134,354,0.0,0.687,0.845,2.65,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0040_1.jpg,data/images/crop/terrain/guilhem/WB1_23_0040_1.jpg
104,WB1_23_0040_2,OK,1443,2427,201,532,0.0,0.985,0.89,2.65,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0040_2.jpg,data/images/crop/terrain/guilhem/WB1_23_0040_2.jpg
105,WB1_23_0040_3,OK,1124,2126,213,571,0.0,0.979,0.887,2.69,2,/Volumes/EXT DATA/IDMB/images/terrain/guilhem/WB1_23_0040_3.jpg,data/images/crop/terrain/guilhem/WB1_23_0040_3.jpg
106,WB1_23_0061_1,OK,1046,2016,401,979,6.733,0.898,0.867,2.44,1,/Volumes/EXT DATA/IDMB/images/terrain/ligia/WB1_23_0061_1.jpg,data/images/crop/terrain/ligia/WB1_23_0061_1.jpg
