epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
52,4672.95,0.45075,0.1753,0.04685,0.01849,0.97509,0.99154,0.9928,0.90274,0.4734,0.17265,0.00627,0.02272,0.0009902,0.0009902,0.0009902
53,4764.83,0.44399,0.16841,0.04719,0.01778,0.98014,0.98449,0.99336,0.89463,0.46687,0.17919,0.00565,0.02384,0.0009704,0.0009704,0.0009704
54,4852.65,0.4572,0.17138,0.04793,0.0199,0.9803,0.9824,0.99162,0.90314,0.45315,0.17094,0.00634,0.021,0.0009506,0.0009506,0.0009506
55,4941.46,0.4608,0.18288,0.04756,0.0191,0.96957,0.98883,0.99058,0.89498,0.46964,0.19247,0.00641,0.02232,0.0009308,0.0009308,0.0009308
56,5028.73,0.45081,0.17361,0.04341,0.01867,0.97454,0.97173,0.99034,0.89837,0.46239,0.19666,0.0062,0.02372,0.000911,0.000911,0.000911
57,5130.21,0.44925,0.17455,0.04493,0.01965,0.98025,0.97982,0.99033,0.89682,0.46764,0.18817,0.00627,0.02427,0.0008912,0.0008912,0.0008912
58,5244.07,0.45277,0.17023,0.04507,0.0191,0.98011,0.9859,0.99221,0.90104,0.46042,0.17759,0.00627,0.02233,0.0008714,0.0008714,0.0008714
59,5339.53,0.44691,0.16979,0.04502,0.0196,0.98098,0.97602,0.99202,0.90668,0.45046,0.18612,0.00588,0.02108,0.0008516,0.0008516,0.0008516
60,5431.95,0.44005,0.16375,0.04578,0.01775,0.98033,0.9843,0.99092,0.90189,0.45205,0.18128,0.00573,0.02182,0.0008318,0.0008318,0.0008318
61,5522.64,0.43429,0.16899,0.04472,0.01758,0.98901,0.98872,0.99309,0.91047,0.42943,0.16491,0.0057,0.01944,0.000812,0.000812,0.000812
62,5613.82,0.44318,0.16723,0.04471,0.01802,0.98446,0.98282,0.99181,0.90621,0.43414,0.17188,0.00571,0.02061,0.0007922,0.0007922,0.0007922
63,5707.49,0.44257,0.17303,0.04553,0.01839,0.97901,0.98695,0.99067,0.90017,0.45794,0.18108,0.00616,0.02424,0.0007724,0.0007724,0.0007724
64,5794.94,0.45742,0.17772,0.04795,0.02013,0.97898,0.98528,0.99074,0.90721,0.44157,0.17831,0.00613,0.02171,0.0007526,0.0007526,0.0007526
65,5890.73,0.47655,0.18359,0.04157,0.02245,0.96909,0.98872,0.98998,0.90486,0.44081,0.18148,0.00627,0.01957,0.0007328,0.0007328,0.0007328
66,5983.82,0.45297,0.16654,0.04105,0.01925,0.98218,0.98166,0.99015,0.90193,0.44369,0.17487,0.00606,0.02265,0.000713,0.000713,0.000713
67,6075.7,0.44138,0.16409,0.04408,0.0184,0.98329,0.98307,0.98825,0.8951,0.46208,0.17876,0.00799,0.02308,0.0006932,0.0006932,0.0006932
68,6165.47,0.43982,0.16856,0.04464,0.01786,0.98716,0.97884,0.98963,0.90606,0.43734,0.17183,0.00688,0.02282,0.0006734,0.0006734,0.0006734
69,6259.93,0.42823,0.16403,0.04167,0.01763,0.98175,0.98617,0.99061,0.90518,0.43553,0.17341,0.00573,0.02119,0.0006536,0.0006536,0.0006536
70,6342.39,0.43317,0.16572,0.0402,0.01735,0.9687,0.99154,0.99134,0.90736,0.4373,0.17534,0.00584,0.02082,0.0006338,0.0006338,0.0006338
71,6422.8,0.42817,0.15983,0.03905,0.0174,0.97481,0.98253,0.9897,0.90344,0.44301,0.18039,0.00575,0.02147,0.000614,0.000614,0.000614
72,6509.11,0.42652,0.17009,0.04206,0.01777,0.97232,0.99071,0.99019,0.90643,0.44112,0.17644,0.00597,0.0205,0.0005942,0.0005942,0.0005942
73,6588.02,0.42306,0.16882,0.04335,0.01751,0.98868,0.98166,0.98993,0.90857,0.43215,0.17229,0.00582,0.0205,0.0005744,0.0005744,0.0005744
